mkt,pred,cagr,sharpe,dd,lev,turn,irr33,irr52,vs
Indice CRSP 1926-2026,vol realizzata 20g,9.948196387647567,0.6174251280517266,-73.70884264966739,1.4436600173607488,6.352374720128101,8.254980467466112,7.232181114413905,-2.227752146061146
Indice CRSP 1926-2026,vol realizzata 60g,10.31099409442704,0.6376847534562397,-72.95172275286077,1.3928555662400641,1.7544016748682891,8.602064500200028,7.547481563674946,-1.8806681133272303
Indice CRSP 1926-2026,EWMA RiskMetrics,9.787476326152266,0.6308030035704827,-69.14725754461793,1.386118200906839,4.729424138068223,7.996980130659493,7.000157248876168,-2.485752482867765
Indice CRSP 1926-2026,catena di Markov k=2,0.6874787348116973,0.1324726450589706,-94.64850806951259,1.3264989557232603,65.66077470837335,1.271789077603297,1.0303262413448322,-9.210943535923962
Indice CRSP 1926-2026,catena di Markov k=3,2.161589678265474,0.20784625262771156,-86.98936022695987,1.3400755162443172,57.0157364075799,1.6277824822821765,1.2857267389676015,-8.854950131245081
QQQ 2006-2026,vol realizzata 20g,19.054832265602784,0.8614164852599944,-42.514790611498555,1.3354867237347168,7.224840905578807,16.13167587085239,13.820494926289628,1.3943561339760429
QQQ 2006-2026,vol realizzata 60g,16.921757458313834,0.7795933049979629,-42.599081419705385,1.2646571443877355,2.305750782621492,14.831607928967994,12.662187826678151,0.0942881920916463
QQQ 2006-2026,EWMA RiskMetrics,18.188343205545742,0.8543643870742272,-40.9991831846785,1.283194130987717,5.37453980914384,14.808074703569446,12.720210913116858,0.070754966693098
QQQ 2006-2026,catena di Markov k=2,8.270476173323704,0.443561480447326,-62.66130497993152,1.2515399889073906,52.700670905754905,7.658483030215319,6.492204159091186,-7.078836706661029
QQQ 2006-2026,catena di Markov k=3,11.984044468076306,0.5744927316831954,-61.228948253050454,1.2120435284722835,29.70618635245298,9.879119207489886,8.420698228556759,-4.858200529386462
7 cripto equipesate 2020-2026,vol realizzata 20g,29.587934946487728,0.7311771890431006,-88.65073631622403,1.2355838098304375,11.613370240193728,-8.507076014198775,-13.425385321739093,-27.136493893691807
7 cripto equipesate 2020-2026,vol realizzata 60g,32.19948086592892,0.7508493298049338,-85.64900619324254,1.1441440151415094,2.6474661926811778,0.5166186791261551,-3.6614088960148257,-18.11279920036688
7 cripto equipesate 2020-2026,EWMA RiskMetrics,30.94764766565423,0.7379549883234116,-85.2606487758619,1.183758355307978,9.168095711069409,-5.72393224596298,-10.31681636204147,-24.353350125456014
7 cripto equipesate 2020-2026,catena di Markov k=2,35.672814291463915,0.7832329390192665,-87.54448946160014,1.0378503260322645,52.050369722499255,-18.486865094749245,-23.440576418357228,-37.11628297424228
7 cripto equipesate 2020-2026,catena di Markov k=3,63.375236119966004,1.0545437922973773,-73.22792017818674,0.9541114793407175,1.0833864951721026,10.21807809705059,-2.022100131932561,-8.411339782442443
