dec,mkt,mom,d,fa,fb,vers
1930,5.222418236051329,4.510559836431077,-0.7118583996202519,117123.90929355391,112940.70459754766,90000.0
1940,8.475784905377907,10.914565924219769,2.438781018841862,138534.11964185347,157337.18614135217,90000.0
1950,12.804118475589727,16.416642864279584,3.6125243886898577,173743.59938804785,210351.76020486688,90000.0
1960,5.348610813538129,11.874220101419539,6.52560928788141,117889.95082110415,165465.6803756504,90000.0
1970,5.753323932440349,10.066524829128621,4.313200896688272,120354.57215389195,150490.78810960325,90000.0
1980,12.434799293122223,14.002478573099008,1.567679279976785,170418.37445126087,185114.3415490265,90000.0
1990,16.131845782939024,21.119710106063465,4.987864323124441,207193.8459410423,270280.52170331264,90000.0
2000,1.0877051885229143,0.5025581391181768,-0.5851470494047375,95011.55631632,92277.3128045744,90000.0
2010,9.864392399061344,10.631654309219831,0.7672619101584868,148910.2906848199,155005.28760188312,90000.0
