candidato,irr,vs_capw,vs_ewm,vs_ewa,premio_ew,quota
H5 momentum settoriale,10.038524886639522,0.3770709721567336,-1.1248640935140628,0.11552478583536008,1.5019350656707964,3.983162790495846
H4 tilt low-vol,8.389138893157938,-1.2723150213248502,-2.7742500869956466,-1.5338612076462237,1.5019350656707964,
C1 punteggio misto,8.362174958798896,-1.2992789556838922,-2.8012140213546886,-1.5608251420052657,1.5019350656707964,
