method,base,gap,alpha,mult,improved,proxy_gap,bench
erc,6.853034737308272,3.6266030342843454,6.518554687500002,4.138658224262846,8.105734694552124,1.575040589069432,10.479637771592618
invvol,6.517220473617213,3.9624172979754047,6.694335937500001,4.25026249098454,7.499015398620679,1.575040589069432,10.479637771592618
6040,7.835325168726823,2.644312602865795,6.9580078125,4.417668891067081,8.550909888380525,1.575040589069432,10.479637771592618
equal,7.3570724808230015,3.122565290769616,6.6162109375,4.200660594663786,8.147841014755318,1.575040589069432,10.479637771592618
