strategia,mese,irr,extra,rot,aliq,bench
equal-weight annuale,gen,10.6524090628993,0.0,0.07100154354793803,33,10.6524090628993
equal-weight annuale,feb,10.589842524594781,0.0,0.06991037439729254,33,10.589842524594781
equal-weight annuale,mar,10.660760755827681,0.0,0.07090511269263199,33,10.660760755827681
equal-weight annuale,apr,10.684639221092871,0.0,0.07102315485604074,33,10.684639221092871
equal-weight annuale,mag,10.618741544038468,0.0,0.06990519515527079,33,10.618741544038468
equal-weight annuale,giu,10.581064556369954,0.0,0.06842621907862977,33,10.581064556369954
equal-weight annuale,lug,10.628529166976605,0.0,0.07043088110744161,33,10.628529166976605
equal-weight annuale,ago,10.573175862205689,0.0,0.06971653579801529,33,10.573175862205689
equal-weight annuale,set,10.606689841199152,0.0,0.06904871069465475,33,10.606689841199152
equal-weight annuale,ott,10.583907187633642,0.0,0.06953519653064517,33,10.583907187633642
equal-weight annuale,nov,10.622074103851833,0.0,0.07038500526440516,33,10.622074103851833
equal-weight annuale,dic,10.541561704644225,0.0,0.07008839762862842,33,10.541561704644225
momentum top-5 annuale,gen,12.505135255100509,1.8527261922012084,0.7868125339833029,33,10.6524090628993
momentum top-5 annuale,feb,11.56688006990691,0.9770375453121289,0.8182614143417972,33,10.589842524594781
momentum top-5 annuale,mar,11.857721143977054,1.196960388149373,0.8285764098491372,33,10.660760755827681
momentum top-5 annuale,apr,10.596381663999194,-0.08825755709367655,0.849854712945838,33,10.684639221092871
momentum top-5 annuale,mag,9.025736202616566,-1.593005341421902,0.8357680252341929,33,10.618741544038468
momentum top-5 annuale,giu,9.423860544876389,-1.1572040114935653,0.8185696042427079,33,10.581064556369954
momentum top-5 annuale,lug,8.875281572070538,-1.7532475949060675,0.8254126797052185,33,10.628529166976605
momentum top-5 annuale,ago,9.745235029262297,-0.8279408329433924,0.8388946106537916,33,10.573175862205689
momentum top-5 annuale,set,9.552515386769326,-1.0541744544298268,0.8186711053762995,33,10.606689841199152
momentum top-5 annuale,ott,9.298664079661364,-1.2852431079722777,0.8186926612421396,33,10.583907187633642
momentum top-5 annuale,nov,10.966763668863772,0.34468956501193837,0.8186231926132918,33,10.622074103851833
momentum top-5 annuale,dic,12.527015287573185,1.98545358292896,0.8112905875199199,33,10.541561704644225
momentum top-10 annuale,gen,11.267349457066855,0.6149403941675544,0.732011756775752,33,10.6524090628993
momentum top-10 annuale,feb,11.048209050570556,0.45836652597577476,0.7248660600996708,33,10.589842524594781
momentum top-10 annuale,mar,11.664000083193168,1.0032393273654865,0.7340401020743492,33,10.660760755827681
momentum top-10 annuale,apr,10.350132991099912,-0.3345062299929591,0.7441854421075851,33,10.684639221092871
momentum top-10 annuale,mag,10.081045218380144,-0.5376963256583238,0.7293400500360616,33,10.618741544038468
momentum top-10 annuale,giu,9.453331967341292,-1.1277325890286622,0.7340997697209959,33,10.581064556369954
momentum top-10 annuale,lug,10.103607748208477,-0.5249214187681286,0.7596322131391924,33,10.628529166976605
momentum top-10 annuale,ago,9.689950667000605,-0.8832251952050836,0.7497340531474266,33,10.573175862205689
momentum top-10 annuale,set,9.75589808326302,-0.8507917579361326,0.7442287553435188,33,10.606689841199152
momentum top-10 annuale,ott,10.498066205505555,-0.08584098212808655,0.7430682228303742,33,10.583907187633642
momentum top-10 annuale,nov,10.773048546292733,0.15097444244089964,0.7546672637756587,33,10.622074103851833
momentum top-10 annuale,dic,11.28456734447518,0.7430056398309546,0.70793773992074,33,10.541561704644225
momentum top-25 annuale,gen,10.368571232848566,-0.28383783005073404,0.45602340650359596,33,10.6524090628993
momentum top-25 annuale,feb,10.518562726182148,-0.07127979841263254,0.4488436545714947,33,10.589842524594781
momentum top-25 annuale,mar,10.578902961243294,-0.08185779458438702,0.4567754282339175,33,10.660760755827681
momentum top-25 annuale,apr,10.367563879263408,-0.3170753418294634,0.4730760600686052,33,10.684639221092871
momentum top-25 annuale,mag,10.034133855599874,-0.5846076884385933,0.4659646813167354,33,10.618741544038468
momentum top-25 annuale,giu,9.682689695822797,-0.8983748605471575,0.46527758079252357,33,10.581064556369954
momentum top-25 annuale,lug,9.735125248873006,-0.8934039181035995,0.4886997904245477,33,10.628529166976605
momentum top-25 annuale,ago,9.79183458028664,-0.7813412819190493,0.48885100672347886,33,10.573175862205689
momentum top-25 annuale,set,10.03996751817712,-0.5667223230220326,0.46810861693158595,33,10.606689841199152
momentum top-25 annuale,ott,10.090431771144587,-0.4934754164890549,0.47167796358058606,33,10.583907187633642
momentum top-25 annuale,nov,10.471768806733694,-0.15030529711813934,0.4676749632903809,33,10.622074103851833
momentum top-25 annuale,dic,10.190055247399357,-0.3515064572448683,0.4582639891731597,33,10.541561704644225
