method,cagr,sharpe,dd,vol,turn,top5,neff,stab,irr,irr52,cond,shrink
minvar,9.903675140327394,0.7827563113161283,-46.15485735413478,13.237003415264947,0.36740284156036623,0.8426398970312484,7.544932324309736,0.4730333240431693,8.22260314796729,7.179173308053782,18568.56764365162,
maxdiv,11.301819882324526,0.7452967788160029,-47.79293883284708,16.200883939523347,0.5018891015600208,0.7493474993175383,9.698305931941842,0.5234777771402079,9.34095526767336,8.099796128867185,18568.56764365162,
equal,11.573444515384468,0.7365303320822093,-51.54404304845692,16.897485627110743,0.23478756845965265,0.10661989578006248,48.64995077988378,0.01719346918215677,9.886932148551237,8.679344272141574,18568.56764365162,
minvar_shrunk,10.068472491218072,0.7964484625025713,-46.29673620085328,13.191474493049748,0.36670786732807664,0.8048041991106731,8.173648298452827,0.46671639205237925,8.36290001740982,7.299408814643265,,0.11091020885037918
