label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref,worst_equity,L
min-var leva 1.00x,9.903675140327394,13.237003415264947,0.7827563113161283,-46.15485735413478,-0.4499766925056719,0.36740284156036623,8.22260314796729,7.179173308053782,683,8.22260314796729,33,1.0,1.0
min-var leva 1.20x,10.130411158685181,15.884278321097506,0.6900671906415826,-54.939607528594046,-0.4540474418724732,0.36740284156036623,8.635620297486621,7.568886647356734,683,8.635620297486621,33,0.6301260208232129,1.2
min-var leva 1.20x,10.126398116110892,15.827518721759088,0.6917295306343411,-54.76345391333578,-0.45397631185808246,0.36740284156036623,8.627190953304819,7.561109665537974,683,8.627190953304819,33,0.6381705453447986,1.1957133409035547
min-var leva 1.50x,10.31741818150711,19.858008776820586,0.5972918269403265,-65.88918749791577,-0.4579098065246986,0.36740284156036623,9.154948328545235,8.064811190224555,683,9.154948328545235,33,0.022792748448996814,1.5
cap-weighted (benchmark),10.9847832491627,15.827661577218214,0.7411159073858292,-50.31170717166413,-0.48708499403317784,0.0,10.875103340007708,10.107725411424449,683,10.875103340007708,33,,0.0
