label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref,premio_annuo
long call ATM,6.3039308189764665,9.145173288962328,0.7144879226434742,-22.72861176211094,1.456654332995717,12.0,5.202054632950862,4.418904116453594,436,4.418904116453594,52,0.22780869886230265
long call 5% OTM,1.6074166405612322,4.450344598679351,0.3798870114639896,-23.765322720065065,4.809436194405606,12.0,1.0361078238221035,0.8111948143795691,436,0.8111948143795691,52,0.05425950705062048
long put ATM,-3.190988452853505,10.92432002375273,-0.24574610607691907,-73.77726482506286,3.9883376535425357,12.0,-4.0606833959328075,-4.152536459318457,436,-4.152536459318457,52,0.21921590431794194
long put 5% OTM,2.51227221111201,6.923714024088837,0.38996424163706456,-18.9035573350104,8.27124122059861,12.0,1.730032872824317,1.4155160307527135,436,1.4155160307527135,52,0.04586094849602089
short put ATM,8.042791253545367,10.887205365166682,0.7724276709456284,-34.40112518040279,-4.147976079078318,12.0,5.554639395534333,4.663182078706093,436,4.663182078706093,52,
short put 5% OTM,2.7869437079317105,6.948027025513537,0.4353708867457679,-30.781099469391403,-8.485979500633253,12.0,1.4235729115174962,1.12009673229388,436,1.12009673229388,52,
short put 10% OTM,2.005672463960617,4.759147083606547,0.4445000628308162,-28.478230374451773,-12.574844687826603,12.0,0.8427019249027698,0.6181651188257105,436,0.6181651188257105,52,
BXM  covered call ATM,6.622327323697563,10.394578535971132,0.6716218558446605,-35.81451461769119,-1.3695926319533307,0.0,5.228104210546082,4.0933186217822035,275,5.228104210546082,33,
BXY  covered call +2%,8.948847305257669,12.046841369558457,0.7751393937906703,-40.3063757123285,-1.0002320850831505,0.0,7.1907369886726,5.792395190184911,275,7.1907369886726,33,
BXMD covered call ~5%,9.348763131784699,12.264282675758299,0.7935639921545429,-42.73166857436522,-0.9224549998659601,0.0,7.51371650162748,6.078349054779106,275,7.51371650162748,33,
LEAPS 80% leva 1.0x,10.607232930597288,12.517168800567058,0.8713219289550466,-44.785698348303725,-0.35205215815252905,0.997690531177829,8.372387013203076,7.2819276411664715,433,8.372387013203076,33,
LEAPS 80% leva 1.2x,11.903824300429378,14.984339952445778,0.82903732043904,-52.4922163452454,-0.354300941571723,0.997690531177829,9.466946978156715,8.26697613195205,433,9.466946978156715,33,
LEAPS 80% leva 1.5x,13.672265993156385,18.68777994623936,0.7830684594359432,-62.54456448182343,-0.35742694852685764,0.997690531177829,10.982159816299305,9.634624595719007,433,10.982159816299305,33,
LEAPS 90% leva 1.0x,9.943236413579658,10.712903986540297,0.94156210819135,-36.55332447304767,-0.12281716374527712,0.997690531177829,7.793871982381029,6.756700080584293,433,7.793871982381029,33,
LEAPS 90% leva 1.2x,11.161073768097673,12.781157249008004,0.8949930714672143,-43.51700220060012,-0.12683973587292474,0.997690531177829,8.820889016991085,7.675479559196441,433,8.820889016991085,33,
LEAPS 90% leva 1.5x,12.852529408875712,15.853478534371975,0.8452922024309654,-52.88792315337781,-0.13216232006713677,0.997690531177829,10.255831143472413,8.965068224233349,433,10.255831143472413,33,
azionario buy&hold (bench),11.129776200496622,16.97680401326,0.712374968247359,-47.16638840606856,-1.1185346010125912,0.0,9.641216321891955,8.458208058235464,436,9.641216321891955,33,
