anno1,anno2,anno3,anno4,anno5,anno6,anno7,anno8,anno9,anno10,anno11,anno12,anno13,anno14,anno15,anno16,anno17,anno18,anno19,anno20
0.00022415021918041375,0.0005782271905553592,0.0008451470915897726,0.001058764803865879,0.0013249635063718502,0.0017562299233206543,0.002484633965875373,0.0030235654387820578,0.003464994004108647,0.003850669396392116,0.0041155731234511364,0.0043754434898969595,0.004694724555483903,0.004979725399465525,0.005265826490367442,0.005562794814051101,0.005869786438086146,0.006097461033928067,0.0062895378529835575,0.006440422920419173
0.00019095899840513867,0.0004808665387334101,0.0007128814064765765,0.0010020056373151516,0.0014704135217751986,0.0022615490778871514,0.002846894333562657,0.003326339549556386,0.003745230025346075,0.0040329477550389665,0.004315198641722767,0.004661976787672124,0.004971522435448838,0.005282263085460978,0.0056048068745935846,0.005938237189382692,0.006185519545699969,0.006394138378355978,0.006558017948979991,0.006694574885407703
0.00014469072585945216,0.00037805144281488883,0.0006688527972882863,0.001139977776512361,0.0019357024745846943,0.002524443143920194,0.0030066694789540444,0.0034279898137538583,0.0037173765083869277,0.004001264648481257,0.004350054351272199,0.004661395581247046,0.004973938745309718,0.005298353514990896,0.005633717959824647,0.005882434727512607,0.006092263695942783,0.006257093883193988,0.006394442945777704,0.006542170433667588
0.0001300567809217999,0.0004332704235969525,0.0009245044529723395,0.0017541931066101949,0.002368063022255842,0.002870872247145055,0.003310175818062408,0.0036119144189032154,0.003907919770137404,0.004271596880590822,0.004596227103261509,0.004922110562230508,0.005260372343131699,0.005610051164696727,0.005869383922144235,0.006088169030527571,0.006260034672590242,0.006403246211819283,0.006557279159181085,0.006701434782020927
0.00017903625033950307,0.0006568354055366204,0.0014638327104441436,0.0020609137544210033,0.0025499715324068957,0.002977260487380716,0.0032707467687676426,0.0035586566005302196,0.003912387420766996,0.004228139255672912,0.004545110051824973,0.004874120632292221,0.005214236006112177,0.0054664762114190225,0.005679277714784305,0.005846442963269569,0.00598573777667067,0.006135558040986582,0.006275771118035356,0.006410141820879775
0.0003072369808679996,0.0011224324131993413,0.0017255790864553833,0.0022196051065371974,0.0026512348062425833,0.0029477025572296187,0.003238537208533732,0.0035958615108309783,0.003914821006730459,0.00423501184706443,0.0045673647815222705,0.0049109353207516,0.005165737984857182,0.005380701296979394,0.005549564744454398,0.005690274626558697,0.005841616885570331,0.00598325435978269,0.006118990108256441,0.006225687769836012
0.0004915607047478071,0.0011493312143174732,0.00168809858447578,0.0021588187262083524,0.0024821360091919105,0.0027993100321473726,0.0031889953256678577,0.003536841313140993,0.0038860301614671243,0.004248482561105089,0.004623168485246908,0.004901047292575236,0.0051354787063971705,0.005319635232194955,0.005473088471609477,0.005638137006640106,0.0057926018453233405,0.005940630469867369,0.006056991180021353,0.0061477737180238206
0.0003362625945465824,0.000963692717748183,0.0015118773571296687,0.001888401649304182,0.0022577717101540415,0.002711585926207192,0.0031166755119245372,0.003523328947639313,0.003945428663315751,0.00438177512482683,0.0047053833163657795,0.0049783941537025,0.0051928565693379015,0.005371562983728304,0.005563772884335468,0.0057436573727684985,0.005916046465500179,0.006051556184075542,0.006157278434824889,0.0062494435724732055
0.00037292659331434355,0.0009586189319130668,0.0013609056385813524,0.0017555486095912653,0.002240413544496065,0.00267322002931198,0.003107697365327311,0.003558677841313153,0.00402487984903459,0.004370629847987503,0.004662320538122408,0.004891456826758209,0.005082390629436453,0.005287751849180692,0.0054799443316750065,0.005664128571103624,0.005808910088631747,0.005921866030544257,0.006020337259266428,0.006112516599657023
0.0002977713265757346,0.000731425812076404,0.0011568405516463977,0.0016795121945272912,0.0021460661978862953,0.0026144213348776595,0.0031005664225545143,0.0036031199209591307,0.003975829323040902,0.004290264212534006,0.004537267103036739,0.00474308871879645,0.004964462710563497,0.005171641150048677,0.0053701869142083886,0.0055262575808571746,0.005648021114333074,0.0057541705080870744,0.005853537411761166,0.005933850286065308
0.00023104903471645792,0.000689008883427251,0.0012516659900923884,0.001753912341522698,0.0022580976170406327,0.0027814338113366405,0.0033224336937833364,0.0037236561374696716,0.004062145947595221,0.00432804507107199,0.004549612466950196,0.004787922027828638,0.005010950047258981,0.005224684973812438,0.005392695369876562,0.005523774065987276,0.0056380441083310395,0.005745012786048797,0.005831469761665184,0.005894246943330734
0.0002924624064686413,0.0008920119310987908,0.0014271896755549364,0.001964433475875762,0.00252208388639241,0.0030985561614310007,0.0035260860415898833,0.003886770021848755,0.004170103674248438,0.004406198847132085,0.004660133938766007,0.004897785505670054,0.005125534648254422,0.005304561184842928,0.005444234476109273,0.00556599700030937,0.00567997942249206,0.00577210522703222,0.005838998595976375,0.005895420672337708
0.00033002194687035405,0.0009251986778399173,0.001522673091006244,0.0021428419074289353,0.002783942714976008,0.003259403137425662,0.0036605235399598097,0.003975621839087096,0.004238185734260613,0.004520589588461839,0.004784884365598885,0.005038166553747859,0.0052372638254623806,0.005392595944110442,0.005528009312582371,0.005654770348752937,0.0057572244133177386,0.005831617224050523,0.005894364801488331,0.005955782382480454
0.0003403550617980747,0.000985201657767553,0.0016545420368429392,0.002346474049846024,0.0028596324850500396,0.003292556674685663,0.003632638293430128,0.003916020192798588,0.004220815109630659,0.0045060651280643205,0.004779429398145788,0.004994312571554888,0.005161960567431566,0.005308110507552227,0.005444922094583984,0.00555549947383563,0.00563579069586706,0.0057035133645277495,0.0057698005848047865,0.005830874237441334
0.0004035652161758488,0.0011536440953523828,0.0019290397012422568,0.002504097348966302,0.0029892425771368626,0.003370346194057096,0.0036879107458189903,0.004029471238422047,0.004349129249204793,0.004655467805370884,0.004896271042263964,0.0050841414065427165,0.005247920534030669,0.005401234879119037,0.005525150541888297,0.005615126810632522,0.005691018457083052,0.005765301505653663,0.005833742105308085,0.0058870450851056305
0.0004577638079439899,0.0013334028494344497,0.0019828041661687067,0.0025306691519283433,0.00296104198779914,0.0033196614042672115,0.0037053789658346523,0.004066362484493261,0.0044123046044321585,0.004684238974370802,0.004896397290012423,0.005081349844708822,0.005254484726000608,0.005394420252264527,0.005496028686877287,0.00558173163392818,0.005665618022960151,0.005742906649082366,0.005803100658158468,0.005860909408704567
0.0005450913412038139,0.0013291291218480421,0.0019905796555300405,0.0025101790994957237,0.002943148919756519,0.003408834980338674,0.0038446590378591124,0.004262323254051706,0.0045906361391560456,0.004846779960633608,0.005070077614598769,0.0052791075081055315,0.005448055024253149,0.005570729323666562,0.005674200546574397,0.005775478595429662,0.005868791006926819,0.005941464677379846,0.006011258568017315,0.006070185614212189
0.00045447745699410337,0.0012165401277599902,0.0018151749762236932,0.002314003113457604,0.002850523903742875,0.003352640431503854,0.0038338348547713244,0.004212086865056575,0.004507192295856962,0.00476445538340669,0.005005280465259684,0.005199926306208712,0.005341260388630455,0.005460470446618655,0.005577153730508342,0.0056846597372316185,0.0057683876784451645,0.005848797801340163,0.005916688142215147,0.0059852590551236805
0.0004417273573599643,0.0011256560561490909,0.001695557523952594,0.0023085221164998128,0.002882180506674374,0.0034319357984260866,0.0038640813807834552,0.0042012336094097704,0.004495151695144179,0.004770289678324069,0.004992668774807719,0.0051541402216059235,0.005290335399771181,0.005423643787557018,0.005546467314251056,0.005642124862476707,0.005733991867650536,0.005811555264793451,0.005889896202279252,0.0059595908213654165
0.00038780358371644604,0.0010423649131231511,0.0017463864699079192,0.002405262819086649,0.0030366852226896596,0.003533026788496266,0.00392026357143111,0.004257843703794132,0.004573853916462342,0.004829267817373344,0.0050147261305179235,0.005171153341035957,0.0053242649234055755,0.005465334100197012,0.00557520174481932,0.005680715754577807,0.005769801330270117,0.005859779951285625,0.0059398278281534616,0.00600699660969739
0.0004087380629725775,0.0011976271328656733,0.0019359288869369225,0.002643467211420822,0.003199641141643476,0.0036335580616210506,0.004011832383007591,0.004365936600905503,0.004652139818386028,0.0048599545291013405,0.005035238532016139,0.0052068072185732115,0.00536488182665457,0.005487993659157643,0.005606227040247863,0.005706051592879113,0.00580687684454806,0.005896574233101874,0.005971839993201664,0.006038567800363993
0.0004763929432510615,0.0013121955232096212,0.0021131720260585247,0.0027427948099980662,0.0032340152076268786,0.0036622447926217857,0.0040631123474680975,0.004387111831748853,0.00462237074913785,0.00482080292277659,0.005015029131875729,0.005193979221770257,0.005333349318972496,0.005467196711867749,0.005580204189057566,0.00569434451854369,0.005795887428817728,0.005881092856174571,0.005956632800477442,0.006030399788488916
0.000511149485039034,0.001434089665800508,0.0021595843138380462,0.002725602219442928,0.0032190377811315164,0.003680944930985896,0.004054279406498113,0.0043253609013590285,0.004554008090827931,0.004777808878862272,0.004984007472362953,0.005144599277799277,0.0052988274437365005,0.005429042426390794,0.0055605627593261694,0.005677567479976567,0.005775747029872074,0.00586278934584717,0.005947788739721252,0.006024015463843447
0.0005727941435418625,0.0014424946838761466,0.002121019438917447,0.0027125347254623486,0.0032662547272559895,0.0037137965471118295,0.004038760657037233,0.00431285583439646,0.004581141295643077,0.004828325790620129,0.0050208382789465825,0.005205722233105577,0.005361819926011233,0.005519482432451833,0.0056597440719367955,0.005777438679091887,0.005881782314762061,0.0059836769586169005,0.006075055197362442,0.006154196330380224
0.0005524842032005404,0.0014079540344641586,0.0021537241461819195,0.002851842752735726,0.00341609412642685,0.0038258020850814992,0.004171375556621824,0.004509624259499519,0.00482126930507509,0.005063985027207799,0.005297082852884208,0.005493887561951179,0.005692665155221346,0.005869504099079271,0.006017891000184264,0.006149445275451293,0.0062779119130168745,0.006393119686793761,0.0064928991734016055,0.006590905568975249
0.00048496699453004895,0.0013104016670885876,0.002083094611406862,0.0027076203741927328,0.00316109410474727,0.0035435823820915862,0.0039179634452587665,0.004262898998597913,0.00453154206899659,0.0047895398412164175,0.005007367598100503,0.0052273789863753785,0.005423108197596713,0.005587346065541642,0.0057329532150137445,0.005875142899539176,0.006002657383600064,0.006113095501945275,0.006221571124349393,0.006344705689187716
0.0004932367980924342,0.0013767038630289683,0.0020907623343567688,0.002609246563706504,0.003046568786256561,0.0034746215353805253,0.003869007433610329,0.0041761634736205725,0.004471148093655268,0.0047202038802405585,0.004971756346043526,0.005195545514860924,0.005383328706375318,0.0055498102588778945,0.005712384414854905,0.0058581795172931205,0.005984450167218156,0.006108476975599436,0.006249264248719847,0.006368407362458669
0.0005625198143247479,0.0014079236169083048,0.0020217788636037104,0.0025395430030174227,0.0030463326236808805,0.0035132626461324284,0.0038769175772591564,0.004226162253283054,0.004521029855152011,0.004818853380365077,0.005083806772688026,0.005306131176839893,0.005503235676257114,0.00569571404488315,0.005868326987588155,0.00601782411126602,0.006164664656736847,0.006331348620068364,0.00647240715441941,0.0065961951111063516
0.0005009768687345927,0.001250199797925181,0.0018821415582175255,0.002500688693101379,0.0030705863701701278,0.003514434678350447,0.003940694974378639,0.004300586935203217,0.004664086661145479,0.004987467715170558,0.005258819214088127,0.0054993893015884,0.005734313101497503,0.0059449907412926365,0.006127455049467029,0.006306676949408181,0.0065101181481738955,0.006682282984856086,0.006833368726986313,0.006989560932399227
0.0004048132487349401,0.0010917824537468178,0.0017641906726892722,0.0023837131963675945,0.002866210379771719,0.0033295880438070076,0.0037208182326513932,0.004115970339132014,0.004467510369492945,0.004762490279356712,0.005024008432047309,0.005279388636683996,0.005508411403998646,0.005706764114019926,0.005901592077385306,0.0061227482777891085,0.00630990467165023,0.00647414647157783,0.006643939389095933,0.0068576940709873455
0.00039075632763689176,0.0011145505669208663,0.0017814175401566813,0.00230078757755436,0.0027995769653002445,0.003220705305112792,0.003646055278915058,0.004024460303846395,0.004341982834727551,0.004623486431877726,0.004898383013650491,0.005144907899839316,0.0053584188963074495,0.005568135781917618,0.005806192931317074,0.0060076519794157015,0.006184445280402114,0.00636721392020861,0.006597303920619837,0.0068117397519886725
0.0004326037120721329,0.0011635593377886603,0.0017328429669093827,0.002279568061498271,0.0027411685627811403,0.003207396414402757,0.0036221677149379156,0.003970205463925761,0.004278762711854721,0.004580077983117965,0.004850294922434175,0.005084325201761768,0.005314196740609585,0.005575132158885336,0.005795952248152401,0.005989736110798893,0.0061900695668446705,0.006442272160422854,0.006677316155079973,0.006868170742909123
0.000398247481780816,0.0010301154309780949,0.0016369448682238845,0.002149291521410695,0.0026667742337061723,0.0031271435077354134,0.0035134428626560042,0.00385592141901281,0.00419036185041779,0.004490285147962485,0.004750043597150972,0.0050051861138169325,0.005294807524278869,0.005539903518277936,0.005754991052179249,0.005977348210460371,0.0062572767512347055,0.006518160358768828,0.0067299965873861166,0.0069307891439886506
0.000351846147615349,0.0009988453616723287,0.0015451073944456742,0.002096845473703746,0.0025876894245588484,0.002999560312297453,0.003364709633002659,0.003721288735773273,0.00404106580306508,0.0043180192633856555,0.004590051234188904,0.0048988444690613395,0.005160164876004093,0.00538949037810764,0.005626566725789102,0.00592502546024854,0.006203178560073459,0.006429037532977349,0.00664312178521792,0.006843002414916647
0.0003638426611089335,0.0009412473872388275,0.0015244403522194708,0.0020432675816666984,0.0024786194510400903,0.00286458613162356,0.0032414940015218466,0.003579501732033218,0.00387224445862407,0.004159785118923623,0.004486182822800402,0.004762401247201751,0.005004800719968404,0.005255392918203216,0.005570866946219971,0.0058648777044108605,0.0061036130192769775,0.0063299023302988535,0.00654117826259077,0.006724472781562467
0.00031154793088856823,0.0009257772646555105,0.0014722154465600138,0.0019307358758801566,0.002337242934961179,0.0027342090914833617,0.003090204920628807,0.00339852683244231,0.003701369834350887,0.004045137774353299,0.00433605599350539,0.0045913554837313415,0.004855283699967749,0.005187546627823774,0.0054972040533551305,0.005748644386490361,0.005986976364229774,0.006209495981106428,0.006402545069541255,0.00656067799916125
