label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref
spread trading su 60 coppie,-0.49379117173741216,6.611026447757708,-0.04270750248793019,-25.298758185514437,2.256970039784035,1.9711486832123881,-0.6548168519501265,-0.7249997647378744,342,-0.7249997647378744,52
azionario (benchmark),9.662616423312564,15.931692036431505,0.6615744251080079,-50.31170717166413,-0.5679390698243124,0.0,9.532868985511564,8.110993066379343,342,9.532868985511564,33
azionario buy&hold,10.384451885834679,18.351163235996385,0.6321706916944128,-83.65224657023862,0.12473248802898168,0.0,10.560992243219006,10.151367922682999,1199,10.560992243219006,33
breadth > 40%,8.570826198690451,12.693245652341616,0.714436902189201,-46.890533993767214,-0.7056459481316788,1.5112593828190157,6.781294397052376,5.900980168087819,1199,5.900980168087819,52
breadth > 50%,8.006221474040597,12.156096540286738,0.6972243030641463,-45.49569865116756,-0.6839929378565831,1.7114261884904085,6.300915809749571,5.477268058105654,1199,5.477268058105654,52
breadth > 60%,8.680657407534254,10.752445761410632,0.8305637021997676,-29.342653559063557,-0.13093451248887605,1.95162635529608,6.543909385227698,5.693290260837064,1199,5.693290260837064,52
filtro di trend MA10,9.438600906933958,12.484481422278584,0.7883623339663451,-43.8876000221483,-0.662209978106609,1.4712260216847373,7.416585554910507,6.465690664361132,1199,6.465690664361132,52
