fam,mode,cagr,sharpe,dd,turn,nev
trend temporale,long,28.867102340049343,0.7016531926525039,-78.34295999508412,65.08153561473777,24
trend temporale,ls,10.654843949646885,0.47115353491091094,-59.15625377202436,32.75279319794813,24
momentum cross-sectional,long,51.890480202933034,0.8553919811682964,-85.14426193663792,42.96933923594031,36
momentum cross-sectional,ls,21.094876086179838,0.7419089556903895,-42.06227066679439,39.617970159042464,36
breakout Donchian,long,106.944773346105,1.3494540100067056,-68.24322292132456,18.626601550605486,36
breakout Donchian,ls,41.4960579404013,0.8667529515221943,-60.67459570166327,11.362167099992972,36
mean reversion RSI2,long,36.87546723173487,0.6917175498660003,-47.95205146108314,25.745696015740286,36
mean reversion RSI2,ls,14.999397307278262,0.43371358628177575,-50.428610426604536,27.879201508444005,36
