pac,b_last,b_first,ratio,r2_last,r2_both,segni
azionario 100%,0.13658339829406446,-0.03374431937696822,4.047596775274946,0.21030658831943727,0.2226427866891314,segni misti
erc,0.020343279614630283,0.036887351393443894,0.5514974332975817,0.002487962835331259,0.027212556117475084,entrambi positivi
invvol,0.035063316550546876,0.01991605383783655,1.7605554210710925,0.013537794514695722,0.01966797731316905,entrambi positivi
6040,0.06922787667292424,-0.0088966207093247,7.7813676602359045,0.08814372428973039,0.08961562221312891,segni misti
equal,0.0597150651718864,-0.0012311036804248726,48.505309602581825,0.06464432498490258,0.06467345503868671,segni misti
