scenario,mono,ratio,err
piatto 2%,True,10.265887489179878,3.88263610541529e-05
piatto 4%,True,8.884602828759501,3.807992035526037e-05
piatto 6%,True,7.788790209421451,3.730921950162533e-05
piatto 8%,True,6.909773122469299,3.652287921424229e-05
piatto 10%,True,6.197084848495756,3.572898220257169e-05
piatto 12%,True,5.613281547680755,3.493178178368444e-05
storico mediana,True,5.906417519701746,
