portafoglio,giro,convenzione,rot_usata,rot_vera,mult,irr_usata,irr_vera,delta,rot_target,rot_detenuti
cap-weight (49 settori),giro 60,target,0.19855938803905823,0.26044877553100004,1.3116920741101785,9.661453914482788,9.544718892569437,-0.11673502191335139,0.19855938803905823,0.30888318146757593
equal-weight mensile,"giri 30-43, 50",target,0.0,0.20502103292714427,inf,11.163388980153584,9.812797247269007,-1.3505917328845776,0.0,0.28038423529534984
equal-weight annuale,"giri 31, 50",target,0.2393979635661708,0.07100154354793803,0.29658374068964394,9.923000100804162,10.6524090628993,0.729408962095139,0.2393979635661708,0.25075516644330603
inverse-variance annuale,"giri 31, 34",detenuti,0.28891191931881816,0.22504262841608247,0.7789316167594489,9.433987574805377,9.5453702765015,0.11138270169612241,0.05046423055630102,0.28891191931881816
HRP annuale,giro 31,detenuti,0.3839896237277288,0.318347605676149,0.8290526253956179,9.267299496394246,9.334277630843543,0.06697813444929679,0.1381018509504948,0.3839896237277288
min-variance annuale,giro 32,detenuti,0.43547058614632966,0.3793063552219207,0.871026350088462,8.125105082998083,8.172240081345375,0.04713499834729262,0.23224559312586576,0.43547058614632966
max-diversification annuale,giro 32,detenuti,0.5904800283735477,0.49639454562061947,0.8406627180734922,9.238046471330769,9.291064303774748,0.053017832443979174,0.25703433957859345,0.5904800283735477
low-vol 36m top-25 annuale,giro 04,target,0.1261493411420205,0.2686504700274556,2.129622458550977,9.81684458827276,9.472756115349293,-0.3440884729234668,0.1261493411420205,0.3247138466806547
momentum 12-2 top-25 annuale,giro 50,target,0.44450951683748174,0.6195263013096107,1.3937301179000794,10.271583070947651,10.178423427731776,-0.09315964321587522,0.44450951683748174,0.6864910195781775
