label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref,underlying,thr,cost,benefit,ratio
indice cap-weigh 0.25K dinamico,7.45245261954095,12.148655439074385,0.6552853704983777,-64.97079935455102,-0.9009952880421532,0.40729492315928173,6.622540477949604,5.958531849428371,1199,6.622540477949604,33,,,,,
indice cap-weigh fissa 0.66,7.971779617640529,12.184191748524787,0.6921467958850867,-67.86737842519493,0.11494190543442087,0.006645953101043456,7.904555378135608,7.4912758885361255,1199,7.904555378135608,33,,,,,
indice cap-weigh 0.5K dinamico,8.149269475448717,13.763977783964934,0.6413871197753894,-71.05684160200299,-0.9127525174966271,0.3599328142109492,7.441572330712804,6.678944543447712,1199,7.441572330712804,33,,,,,
indice cap-weigh fissa 0.76,8.707430087644452,13.967176175596455,0.6693791902256679,-73.40735345270832,0.11868106033319133,0.0076183074483819,8.699598757841645,8.288023239570325,1199,8.699598757841645,33,,,,,
equal-weight 49 0.25K dinamico,6.4278096308131305,12.831382482430248,0.5529155651387103,-38.814420865409524,-1.270978700235225,0.560771301893866,5.680277970439765,4.933443866183099,683,5.680277970439765,33,,,,,
equal-weight 49 fissa 0.70,8.979288706174815,12.033019813731807,0.7776207998371617,-39.685310123337004,-0.48309577341554555,0.012295781811213777,8.558050431209113,7.7950891066692565,683,8.558050431209113,33,,,,,
equal-weight 49 0.5K dinamico,8.37076439157216,14.688354607787177,0.6241655669382107,-39.36287655765497,-0.8659597022879205,0.40014162805955594,7.493312045034672,6.449051442033637,683,7.493312045034672,33,,,,,
equal-weight 49 fissa 0.84,10.018442522958138,14.421723701862035,0.7373253565081396,-45.97902932991149,-0.4851196532992176,0.01473479283813844,9.795500736841797,9.028960520239062,683,9.795500736841797,33,,,,,
indice cap-weigh DD>5%,7.231993732861186,9.902944315565158,0.7571930404913509,-43.97559382699211,-0.7534259393430509,0.6944641705523393,5.794223807384899,5.07205144606769,1199,5.794223807384899,33,indice cap-weighted,0.05,1.6473485233279046,27.08124777501088,0.060829860463371604
indice cap-weigh DD>10%,7.597084775484664,10.920290390067828,0.7279024094879429,-50.151113710616876,-0.7826941476570214,0.45371430298190046,6.391831298199952,5.658109320683309,1199,6.391831298199952,33,indice cap-weighted,0.1,1.049741032512852,20.905727891386114,0.05021308217377984
indice cap-weigh DD>15%,7.822198585301887,11.207966753225422,0.7308188300626433,-50.151113710616876,-0.7419838680893992,0.42396945426030846,6.69429098709838,5.974496313878679,1199,6.69429098709838,33,indice cap-weighted,0.15000000000000002,0.7472813436144232,20.905727891386114,0.03574529179260623
indice cap-weigh DD>20%,7.773592329148249,11.491628332817418,0.7116705822981644,-50.151113710616876,-0.7316441148702956,0.46783650970716023,6.607846679554285,5.852415258205592,1199,6.607846679554285,33,indice cap-weighted,0.2,0.8337256511585185,20.905727891386114,0.039880249828662624
indice cap-weigh DD>25%,7.947628214306612,11.829833594093529,0.7083401354961997,-53.53580465804386,-0.6496443033826981,0.37220615112196626,6.98707859275226,6.2113514415425675,1199,6.98707859275226,33,indice cap-weighted,0.25,0.4544937379605436,17.521036943959132,0.025939888113599523
indice cap-weigh DD>30%,7.886573951801967,12.074296007019747,0.6918336287296899,-56.8762453678154,-0.7033046799800277,0.3708613700391587,7.037140156009794,6.2993137371881645,1199,7.037140156009794,33,indice cap-weighted,0.3,0.4044321747030093,14.18059623418759,0.02852011072200021
indice cap-weigh DD>35%,7.814095404134069,12.41112663814648,0.6711559674630575,-57.81186677130472,-0.7961096769812475,0.38394682445671807,6.949293841932319,6.203805536301794,1199,6.949293841932319,33,indice cap-weighted,0.35000000000000003,0.4922784887804843,13.244974830698268,0.03716718944905172
indice cap-weigh DD>40%,8.128160426706765,12.609422859909644,0.685760892866461,-56.94810511491588,-0.7626868959876965,0.3238967827553002,7.250501597443032,6.4968603138823,1199,7.250501597443032,33,indice cap-weighted,0.4,0.19107073326977186,14.108736487087107,0.013542724640484116
indice cap-weigh DD>45%,8.093718296146424,12.673165005874054,0.6804359747938075,-60.25319883992151,-0.7649127618868102,0.3432792053687072,7.290778370277503,6.53406040776138,1199,7.290778370277503,33,indice cap-weighted,0.45,0.15079396043530036,10.80364276208148,0.01395769591387782
indice cap-weigh DD>50%,8.042181098775902,12.738951618128375,0.6738341705621657,-63.659114436829725,-0.7697175952606455,0.37174351977356657,7.311876296513967,6.551243546565988,1199,7.311876296513967,33,indice cap-weighted,0.5,0.12969603419883668,7.397727165173265,0.01753187584551843
equal-weight 49 DD>5%,6.340606062453591,10.554608684932845,0.6380405442067565,-29.11014629221331,-1.2780863467238446,1.110691491354554,5.228673711877406,4.499474734392751,683,4.499474734392751,52,equal-weight 49,0.05,2.264638333157267,10.25273026544166,0.22088148956679027
equal-weight 49 DD>10%,7.03342848423083,11.934453780966226,0.6321143446679655,-29.1101462922133,-1.0259504911059627,0.7953069757171536,5.7539942190490825,4.901012180397682,683,5.7539942190490825,33,equal-weight 49,0.1,1.73931782598559,10.25273026544167,0.16964435627924548
equal-weight 49 DD>15%,6.981574053576733,13.009192118157204,0.5867838363115049,-30.652193021626385,-1.0031049447450604,0.6556481199245242,5.823074241404778,4.992132471527347,683,5.823074241404778,33,equal-weight 49,0.15000000000000002,1.6702378036298944,8.710683536028586,0.19174589419091634
equal-weight 49 DD>20%,7.760321194256781,13.839395432154802,0.6122560136782385,-32.85864989408858,-0.8165988626505046,0.4766543779887498,6.832842270926564,5.916614384405515,683,6.832842270926564,33,equal-weight 49,0.2,0.6604697741081083,6.504226663566392,0.10154470443161955
equal-weight 49 DD>25%,7.494455802052458,14.16896618956269,0.5841202177854776,-38.81442086540948,-0.932785001192084,0.5227214160735129,6.6373061854617585,5.67353867918541,683,6.6373061854617585,33,equal-weight 49,0.25,0.8560058595729139,0.54845569224549,1.5607566329893496
