label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref,strategia,valuta,rot
buy&hold azionario USA USD,11.373793877060145,15.711725573828367,0.7678609835655325,-50.31170717166413,-0.49036608662848613,0.0,10.933701756478136,10.143538941928895,665,10.933701756478136,33,buy&hold azionario USA,USD,0.0
buy&hold azionario USA EUR,9.740713541150935,16.815362736888392,0.6397980499809589,-58.381881887320084,-0.482167649359266,0.0,10.162371018885832,9.37172826176017,664,10.162371018885832,33,buy&hold azionario USA,EUR,0.0
equal-weight annuale (gen) USD,11.9584610842818,16.848487407347566,0.7587090954844811,-52.36415579183238,-0.5009989896764018,0.07028862537561334,10.712631742121163,9.642406193770773,665,10.712631742121163,33,equal-weight annuale (gen),USD,0.07028862537561334
equal-weight annuale (gen) EUR,10.26580329756226,17.599462165311312,0.6465856252707516,-59.34143472639981,-0.5056721587572516,0.07039448173913153,9.997090039296447,8.991066121522499,664,9.997090039296447,33,equal-weight annuale (gen),EUR,0.07039448173913153
momentum top-10 mensile USD,15.247800972273318,18.312938767451435,0.8720402073380364,-53.33645145347039,-0.5091685417127976,2.814309958644792,11.886444070929796,10.25514662475161,665,10.25514662475161,52,momentum top-10 mensile,USD,2.814309958644792
momentum top-10 mensile EUR,13.886835685980081,19.017138676811083,0.783406892529406,-44.28188276054906,-0.42366888578378503,2.818548377257209,11.281143703739097,9.793093784596529,664,9.793093784596529,52,momentum top-10 mensile,EUR,2.818548377257209
momentum top-5 annuale (gen) USD,15.258649669356771,20.86430055052019,0.7900285476863298,-62.92868764568572,-0.44453211943411086,0.7903284416257577,12.665905927995864,11.076175085545014,665,12.665905927995864,33,momentum top-5 annuale (gen),USD,0.7903284416257577
momentum top-5 annuale (gen) EUR,13.5217221233642,21.31979845870905,0.7053705695618976,-63.15020492754855,-0.3463134100107157,0.7915186953029053,12.092702189303775,10.645109723885529,664,12.092702189303775,33,momentum top-5 annuale (gen),EUR,0.7915186953029053
