label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref
49 settori equal-weight (bench),11.154760580749246,17.19897120197475,0.7045175655362325,-52.62723700824792,-0.4867010182336908,0.0,11.163388980153593,10.39595971996282,683,11.163388980153593,33
solo 12-2 (riferimento),15.15678078213134,18.48942008640489,0.8618945130427897,-58.32402667739359,-0.6875697535475747,2.6758418740849197,11.669702477975644,10.038524886639522,683,10.038524886639522,52
solo 1m,9.757291675637036,18.01728149370607,0.610178236606274,-55.640157067889504,-0.5564352720452193,9.081698389458275,8.083095108295524,6.9503371353991374,683,6.9503371353991374,52
solo 3m,10.98411867969855,17.957915035511924,0.6745708382067133,-55.12098626949036,-0.7266439131643695,6.442752562225477,9.292526100318247,8.013032818188808,683,8.013032818188808,52
solo 6m,11.972905418500957,18.181209446338144,0.7175580505217578,-55.49826937497583,-0.6871401161746159,4.06207906295754,9.81155283590773,8.461373275551754,683,8.461373275551754,52
composito 1+3+6+12,12.750723531904073,17.577593841512968,0.775656842100378,-53.86126962224844,-0.6935405232389237,5.710776875637785,9.88618981510729,8.490921676132784,683,8.490921676132784,52
composito 6+12,14.04257409321865,18.123142599702565,0.8211648179453517,-57.32954362527354,-0.6538787863738755,3.4451750299480897,10.871246717015284,9.341905163949196,683,9.341905163949196,52
12-2 con reversione a 1m,14.156574750291263,18.144810727690412,0.8249929959490658,-50.711855355479564,-0.3570532146637049,7.493446914237546,10.896528968999117,9.361709919758493,683,9.361709919758493,52
azionario buy&hold (finestra C4),14.055376951387611,14.90975336984949,0.9611158309954428,-24.84493224703469,-0.3396088056170811,0.0,11.559318785437652,9.367346516509093,192,11.559318785437652,33
fuori in backwardation,12.566429370902554,12.84699238311976,0.9900410633629805,-26.849120981305497,-0.464824139988252,1.8125,9.323728359892918,7.874694216104613,192,7.874694216104613,52
