variante,npy,cagr,exp,irr
sistema completo,6.531168253641719,3.9579058473866646,0.5643722685718712,0.30611606930657814
senza filtro volume,11.57590185693736,14.112019287669167,1.098307962186865,3.664571645548002
senza ritracciamento,17.534365445933087,23.421999111395984,1.3765666754453643,10.903367576079056
solo filtro di tendenza,3.5379309041834452,45.13114392718673,13.320683584656328,27.155198016517495
