label,cagr,vol,sharpe,dd,irr,final,versato,imposte
S&P 500 — ETF UCITS,15.412603568124883,15.914557785116063,0.9851985968886697,-24.885724308022873,11.561691382388183,162713.04796237315,90000.0,41546.27515322683
S&P 500 — diretto CGT,15.412603568124883,15.914557785116063,0.9851985968886697,-24.885724308022873,12.271280671529391,168894.3885861986,90000.0,38266.154079769454
S&P 500 Momentum (proxy) — ETF UCITS,15.206699759734011,16.936286217478024,0.9238743251665469,-24.37690877819465,11.654444831220001,163507.266194895,90000.0,42369.9861631897
S&P 500 Momentum (proxy) — diretto CGT,15.206699759734011,16.936286217478024,0.9238743251665469,-24.37690877819465,12.4320517324606,170329.03863850978,90000.0,38972.77276225109
