candidato,extra_annuo,percentile,p95_nullo,p99_nullo
H5 momentum settoriale,3.8189524008725018,100.0,1.8133456658798242,2.4863139163952557
H4 tilt low-vol,-1.5331530164042193,7.68,1.6685542474676547,2.376636196850633
C1 punteggio misto,0.054442839667478087,51.339999999999996,1.53515726998373,2.127383636943134
