nome,margine
12-1 top-3,1.5129557867894352
12-2 top-3,-1.499423907433009
12-3 top-3,-0.05725708056050394
12-4 top-3,0.33034478234599085
12-6 top-3,-2.276095341873072
12-1 top-5,0.6488178962274684
12-2 top-5,-0.8707777453446468
12-3 top-5,1.1806310319293694
12-4 top-5,-0.38986216189594813
12-6 top-5,-2.7559170291794493
12-1 top-10,-0.22764743146378486
12-2 top-10,-0.8465025933482639
12-3 top-10,-0.9277889349846138
12-4 top-10,-1.0548871524087762
12-6 top-10,-2.021901186519303
12-1 top-25,-1.2205249508099278
12-2 top-25,-1.1871383176037327
12-3 top-25,-1.6955868844750945
12-4 top-25,-1.87881574067924
12-6 top-25,-1.9157615087832838
