decade,vix,rv,spread,share
1990,18.548333333333332,12.318011135041775,6.230322198291559,93.33333333333333
2000,21.9,19.29138163919628,2.60861836080372,75.0
2010,17.086,13.634191088409745,3.4518089115902546,81.66666666666667
2020,20.757631578947368,17.73824919377285,3.0193823851745174,81.57894736842105
