mese,bench,margine
1,10.088020448599869,1.1836531919303397
2,10.227337750172719,1.0443358903574893
3,10.234935804686984,1.0367378358432244
4,10.157446598689951,1.1142270418402571
5,10.105608157549911,1.1660654829802972
6,10.23132992634031,1.0403437141898983
7,10.078737425069692,1.1929362154605165
8,10.062641555029339,1.2090320855008692
9,10.079110975390495,1.1925626651397128
10,10.091042608600839,1.1806310319293694
11,10.042505563644022,1.229168076886186
12,10.098948318559689,1.1727253219705194
