strategia,ritardo,irr,margine,rot,aliq
momentum 12-2 top-5 mensile,0,9.220264863256192,-0.8677555853436765,3.3000926604017837,52
momentum 12-2 top-5 mensile,1,9.438013902822325,-0.6532319384845007,3.282621035550894,52
momentum 12-2 top-5 mensile,5,8.991208917717506,-1.1276388952986967,3.2822768704880176,52
momentum 12-2 top-5 mensile,10,9.758723370334948,-0.3726475825063247,3.282526848086944,52
momentum 12-2 top-5 mensile,20,11.085236135589946,0.8561727295074828,3.2840362287429974,52
momentum 12-2 top-10 mensile,0,9.244540015252575,-0.8434804333472936,2.7584300805909407,52
momentum 12-2 top-10 mensile,1,9.329210702538331,-0.7620351387684945,2.75203636401572,52
momentum 12-2 top-10 mensile,5,9.1483316026443,-0.9705162103719029,2.754389915326851,52
momentum 12-2 top-10 mensile,10,8.941293580155321,-1.190077372685952,2.753127237044777,52
momentum 12-2 top-10 mensile,20,9.021187486183537,-1.2078759198989264,2.7537102392401858,52
