sym,nome,cagr,vol,dd,sharpe,irr_etf,fin_etf,irr_cgt,fin_cgt,versato,tax_etf
SPY,S&P 500 (SPY),12.649672573398707,15.884028515692862,-23.92718402314561,0.8316032186651543,12.041304812754102,60323.969833369,13.173502586577069,61987.460967181585,45000.0,9421.550266902019
SPMO,S&P 500 Momentum (SPMO),20.6336077099037,20.62958791757489,-21.33889558465206,1.015102690807664,20.85080118318863,74407.60736183438,22.437454541595724,77237.3253316123,45000.0,18098.904327139204
MTUM,MSCI USA Momentum (MTUM),13.090924346926736,20.56665984011226,-30.16963166649407,0.7007871799554609,15.659844698633835,65787.69741830014,17.003740393779776,67928.40695318457,45000.0,12824.906243169353
BRK-B,Berkshire (BRK.B),12.238239505108538,18.890153230454775,-24.337653723942655,0.7066935459948959,7.469319252728071,54013.19478804946,8.405091256160906,55253.27814973636,45000.0,5681.306181706304
