inizio,diff,irr_sp,irr_mom
1927,3.6014543866010715,7.282748839540895,10.884203226141967
1928,2.5670703826955834,0.06665828188610723,2.6337286645816906
1929,1.1478465720536297,4.361109431850921,5.508956003904551
1930,0.5107932946142855,5.164755253334484,5.675548547948769
1931,-0.5191057480784078,4.174225399420512,3.655119651342104
1932,0.30674985975318103,1.9315280564090105,2.2382779161621915
1933,-0.7733866682096759,2.75889898664117,1.985512318431494
1934,-0.06096191266689299,4.857001118303009,4.796039205636116
1935,0.9557913511770213,6.4211103691335065,7.376901720310528
1936,3.2210442577464136,9.864262482856523,13.085306740602936
1937,3.166471936653778,8.14500294392006,11.311474880573838
1938,3.204446898162793,8.016130501117175,11.220577399279968
1939,3.4588259458707658,6.95269666603714,10.411522611907905
1940,3.3801760895810986,8.414846748300631,11.79502283788173
1941,4.145634494299189,10.722797697401498,14.868432191700688
1942,4.64437857165575,11.64027471905517,16.28465329071092
1943,4.251647818943509,10.99417326400427,15.24582108294778
1944,3.9701089565574943,9.207774519820989,13.177883476378483
1945,3.770827733483676,13.059797442812949,16.830625176296625
1946,3.8440716316073207,14.76658554698242,18.61065717858974
1947,3.9373254466036407,14.470188956201163,18.407514402804804
1948,3.5966530865239204,10.719619944691006,14.316273031214926
1949,2.6803437735424787,13.738791058910959,16.419134832453437
1950,3.161391595819275,12.736972055858509,15.898363651677784
1951,3.7118131254970166,10.559150737053628,14.270963862550644
1952,3.3181897054637677,11.731316095282931,15.049505800746699
1953,3.58358516655192,8.165279341478529,11.748864508030449
1954,3.085580769573239,8.451146686584444,11.536727456157683
1955,2.9206182672359606,8.444368621335164,11.364986888571124
1956,4.318478654410008,8.803994983942653,13.12247363835266
1957,4.954424665037787,6.13131001633037,11.085734681368157
1958,5.621663101295333,8.062527678665754,13.684190779961087
1959,4.822299250849403,8.211992292471878,13.034291543321281
1960,4.629305242250512,5.288917292262591,9.918222534513102
1961,3.122955389588845,4.0911214274322445,7.214076817021089
1962,2.476592543313167,5.138243904162517,7.6148364474756844
1963,2.57027822329258,6.005270502853599,8.57554872614618
1964,3.4421286370152364,1.7385944131699693,5.180723050185206
1965,4.089675721335384,-4.681108638254726,-0.5914329169193411
1966,1.5867199767367022,0.9310760355153876,2.5177960122520897
1967,1.0577403121921405,3.615965365309834,4.6737056775019745
1968,1.7668662866062341,2.693311524121209,4.460177810727443
1969,2.71671388946179,3.342643024691677,6.059356914153467
1970,4.208198518910786,5.700881665446911,9.909080184357697
1971,6.0657014499745525,8.712633110884388,14.77833456085894
1972,3.581805348796353,7.388488467950424,10.970293816746777
1973,4.715097096608659,9.463082854916141,14.1781799515248
1974,3.127195364574744,11.369799888850782,14.496995253425526
1975,2.285693537843624,10.23179553033406,12.517489068177683
1976,1.75558652416386,12.231245324135987,13.986831848299847
1977,1.589318226307057,12.739159977361341,14.328478203668398
1978,1.279118201534354,10.921437645638829,12.200555847173183
1979,0.05840765250909463,11.130895769175918,11.189303421685013
1980,0.8350765156815871,12.368658846375864,13.20373536205745
1981,1.3838479154771957,9.470854001290673,10.854701916767869
1982,2.1876406557244295,11.631413320202553,13.819053975926982
1983,1.7661113489066445,10.488691107071501,12.254802455978146
1984,3.419809841459953,10.098463554792996,13.51827339625295
1985,2.8724609126369565,7.937030625790664,10.80949153842762
1986,2.7086199105557593,10.236757054326622,12.945376964882382
1987,2.6233731804003675,11.346916089908099,13.970289270308466
1988,2.440126508572222,13.648665090166611,16.088791598738833
1989,3.497449993302814,14.751658888957925,18.24910888226074
1990,4.339118517489318,16.063624751540807,20.402743269030125
1991,3.212148294127278,11.982904775509892,15.19505306963717
1992,2.938148458859847,7.853285917014088,10.791434375873935
1993,3.8150989180520347,2.0750698848917364,5.890168802943771
1994,2.548301500418587,4.922597523457742,7.470899023876329
1995,1.744818293320586,4.769137013344742,6.513955306665328
1996,2.3653051183908396,4.036256202329564,6.401561320720403
1997,1.186723430594684,4.683137640096621,5.8698610706913055
1998,2.2492571851678926,4.430429690915726,6.679686876083618
1999,2.1655944112360386,-3.6334359633350117,-1.4678415520989734
2000,-0.12458609712485957,1.0346759866585806,0.910089889533721
2001,0.8256465993413769,3.3919627765518476,4.2176093758932245
2002,-0.018421953794069967,3.0078047709786686,2.9893828171845986
2003,-0.15930039102878268,4.307536323697245,4.148235932668462
2004,-0.14296860535061562,7.33972356378258,7.196754958431964
2005,-0.21135282259747967,7.980517031377057,7.769164208779578
2006,0.4012175543629093,7.0945315359169285,7.495749090279838
2007,-0.7887855992712272,8.049554876529758,7.260769277258531
2008,-0.5444519753299435,10.1243082607022,9.579856285372257
2009,0.1193612581275314,8.136225264502988,8.25558652263052
2010,-0.16285657363379258,9.801718498863648,9.638861925229856
2011,0.25756932748204164,10.931860770756751,11.189430098238793
2012,-1.1493685151039745,12.154487549375906,11.005119034271932
2013,-0.09900837684024033,6.9449591177806305,6.84595074094039
2014,-1.119104916438035,8.662793652108968,7.5436887356709335
2015,-0.35103120467431026,10.258853173534463,9.907821968860153
2016,-1.2486299095056577,10.929682894537388,9.68105298503173
