i,date,pred,actual
3746,2021-07-27,-0.0851211786129098,-0.01055654184798882
3751,2021-08-03,-0.0965596005822672,0.011327481861561184
3756,2021-08-10,-0.12182623541790438,0.0006780028563446727
3761,2021-08-17,-0.09975694375819644,0.011518239158809784
3766,2021-08-24,-0.09719933553737914,0.01883557005504466
3771,2021-08-31,-0.10942195946502664,0.004865039581732455
3776,2021-09-08,-0.10697214882748807,-0.017926723140632816
3781,2021-09-15,-0.10078005865936135,-0.024276554274994644
3786,2021-09-22,-0.07269942186231015,-0.017151413823608186
3791,2021-09-29,-0.03965581999445977,-0.006919165254119619
3796,2021-10-06,-0.060219558646652405,-0.000671526106665099
3801,2021-10-13,-0.029282642300599515,0.05132438115796667
3806,2021-10-20,-0.055107686257182764,0.009721149492635917
3811,2021-10-27,-0.06515228921890659,0.026192202996412783
3816,2021-11-03,-0.08335272189025711,0.01611623748462887
3821,2021-11-10,-0.0796352743963129,0.005312152046135887
3826,2021-11-17,-0.10328911317430889,0.00015097377708794824
3831,2021-11-24,-0.0779913410329034,-0.026064228991037774
3836,2021-12-02,-0.05994042406202371,0.03226387166769995
3841,2021-12-09,-0.06360664639070956,-0.006406251255130058
3846,2021-12-16,-0.05548480995534777,-0.00780752573653265
3851,2021-12-23,-0.05628937338771589,0.016245716049099634
3856,2021-12-31,-0.036122271479515855,-0.04078936078957507
3861,2022-01-07,-0.03979261202883311,-0.0165616092447729
3866,2022-01-14,-0.03600355682752843,-0.06876555632049997
3871,2022-01-24,0.04311110809368701,0.0003127470215245065
3876,2022-01-31,0.014317492007097199,0.017652132394887277
3881,2022-02-07,0.020700567863486397,-0.030585770492841835
3886,2022-02-14,0.030170950239236438,-0.015991436731351505
3891,2022-02-22,0.036806694193101785,0.015489970557524657
3896,2022-03-01,-0.01527674738353868,-0.06326413100530948
3901,2022-03-08,0.0617764299627106,-0.020593425493856565
3906,2022-03-15,0.09024310591720885,0.10029222113045799
3911,2022-03-22,0.030289010015364992,0.042361784594102
3916,2022-03-29,0.007646925140788019,0.012030336247293771
3921,2022-04-05,-0.014611009637153227,-0.07692927367801972
3926,2022-04-12,0.002561810667500941,0.015752881699290677
3931,2022-04-20,-0.023598374325923932,-0.08409865176172093
3936,2022-04-27,0.04933362097336169,0.00529734485409139
3941,2022-05-04,0.06810629887588249,-0.05664638176254999
3946,2022-05-11,0.12696239419351518,0.017987763732286055
3951,2022-05-18,0.1133776394937509,-0.06182845929292691
3956,2022-05-25,0.19656788888448307,0.06531127507698353
3961,2022-06-02,0.12991851607179328,0.005359509803921636
3966,2022-06-09,0.11940752516660003,-0.08074378881992639
3971,2022-06-16,0.22171506116417516,0.007249010157320157
3976,2022-06-24,0.1913207139615556,-0.01604356622630987
3981,2022-07-01,0.21661992356834037,0.05376769658912517
3986,2022-07-11,0.1340924743249967,-0.011782664236239526
3991,2022-07-18,0.1286828036534886,0.03467293658135473
3996,2022-07-25,0.04741477310379971,0.04460412744144282
4001,2022-08-01,0.029446092213082586,0.0199391688308872
4006,2022-08-08,0.008404735455516787,0.026853177933177985
4011,2022-08-15,0.00285853721385787,-0.022791306553125
4016,2022-08-22,-0.0005749010851228142,-0.04776060979249852
4021,2022-08-29,0.038103205382808536,-0.03991019385896433
4026,2022-09-06,0.032990053177055056,0.052749193591855814
4031,2022-09-13,0.04015172247332499,-0.06336487942861813
4036,2022-09-20,0.023043419271138177,-0.05730970172725103
4041,2022-09-27,0.1073809921009381,-0.0030615592083683696
4046,2022-10-04,0.06550763434598128,-0.02603005154827609
4051,2022-10-11,0.20936095510972264,0.01103565932209749
4056,2022-10-18,0.11018265772827518,0.03378503680025857
4061,2022-10-25,0.0594287833649767,-0.0017956544515835837
4066,2022-11-01,0.04457060254765999,-0.03727292544439931
4071,2022-11-08,0.12016618623786623,0.06670652864456827
4076,2022-11-15,0.02103633196364596,-0.012436904428251072
4081,2022-11-22,0.07994894479466019,-0.004682677474097008
4086,2022-11-30,0.08160136140407959,0.003956160531911168
4091,2022-12-07,0.030593644304925727,0.024744391676526423
4096,2022-12-14,0.05084474266876171,-0.06620467923799345
4101,2022-12-21,0.055343191370619715,-0.03502262985001747
4106,2022-12-29,0.10510083048649976,0.005690042072662882
4111,2023-01-06,0.06065481323496158,0.06678644647092447
4116,2023-01-13,0.061154253793085145,0.013008429156427637
4121,2023-01-23,0.05495389139057916,0.04804025923447952
4126,2023-01-30,0.012141104004384395,0.0334840331639763
4131,2023-02-06,0.008907198817668993,-0.021163956534194006
4136,2023-02-13,0.04742607361383833,0.004871504675625582
4141,2023-02-21,0.02267002486219938,-0.023973967326338275
4146,2023-02-28,0.061953059051964354,0.020684456011430985
4151,2023-03-07,-0.00389337660645217,-0.031097891280837286
4156,2023-03-14,-0.008670347451860239,0.05256458770511552
4161,2023-03-21,-0.02751818004650175,0.009118573716377476
4166,2023-03-28,-0.00025757559396621943,0.03688942748771118
4171,2023-04-04,-0.030671036538266416,-0.013493675261398552
4176,2023-04-12,-0.0048063145657890605,0.009593769103434235
4181,2023-04-19,-0.019202659984725923,-0.027817851966940088
4186,2023-04-26,-0.0040814141112467395,0.030291332955622252
4191,2023-05-03,-0.04746725008463659,0.007076241467844024
4196,2023-05-10,-0.059204597627785516,0.017162012897586898
4201,2023-05-17,-0.060949233913643264,0.01895094143538323
4206,2023-05-24,-0.056653167717661934,0.04388649039736281
4211,2023-06-01,-0.14390749833421923,0.0023851835508257313
4216,2023-06-08,-0.11648866736525354,0.04896502353749721
4221,2023-06-15,-0.21037870398300296,0.0007379612117508483
4226,2023-06-23,-0.18495891152957877,-0.006445120942591642
4231,2023-06-30,-0.14428890447731135,0.006679283142299486
4236,2023-07-10,-0.12463052875114922,0.0350317205939199
4241,2023-07-17,-0.20820511943597597,-0.009074859357047438
4246,2023-07-24,-0.1602567159827739,0.020898250938423457
4251,2023-07-31,-0.16013634491257445,-0.029832066083444575
4256,2023-08-07,-0.11739251836714082,-0.015589772227964871
4261,2023-08-14,-0.09623144839334885,-0.022143922622977263
4266,2023-08-21,-0.08720503315944106,0.016446511043475942
4271,2023-08-28,-0.07340021845570621,0.037278202873633814
4276,2023-09-05,-0.144892352987243,-0.0016419926375167426
4281,2023-09-12,-0.09395134461338106,-0.01673873252513458
4286,2023-09-19,-0.019133785426671435,-0.029811714239464826
4291,2023-09-26,-0.03043510507600533,0.004588359739394532
4296,2023-10-03,-0.043259169072055625,0.014670846075656163
4301,2023-10-10,-0.05851814539762423,0.007774989087734774
4306,2023-10-17,-0.05469164380151803,-0.03719441812620128
4311,2023-10-24,-0.021949187435971185,-0.018191019254055085
4316,2023-10-31,-0.007673346587470431,0.05730234658355249
4321,2023-11-07,-0.03340228426921932,0.02166788607209691
4326,2023-11-14,-0.04304498419206937,0.03586861525061935
4331,2023-11-21,-0.03723091457186145,-0.0014075600503546948
4336,2023-11-29,-0.05155834662480141,-0.0074322509546631554
4341,2023-12-06,-0.04201826907337314,0.029383665228029043
4346,2023-12-13,-0.06738093749122864,0.02631246328260306
4351,2023-12-20,-0.1063143246939997,0.005719034118682131
4356,2023-12-28,-0.08235125813999844,-0.03698663426488469
4361,2024-01-05,-0.04425087641235359,0.03298175532451819
4366,2024-01-12,-0.06753454719192353,0.028899425213156693
4371,2024-01-22,-0.08650129487803715,0.006244384971850314
4376,2024-01-29,-0.13337854955271822,0.012269672730704784
4381,2024-02-05,-0.12602811298440042,0.018740770174569876
4386,2024-02-12,-0.13713310341773766,-0.014826628939296427
4391,2024-02-20,-0.08285462289987844,0.01388851954644954
4396,2024-02-27,-0.10567303755138813,0.01711144008959886
4401,2024-03-05,-0.08724500323554829,-0.014931712905384531
4406,2024-03-12,-0.09139629281813622,0.00020576601646649095
4411,2024-03-19,-0.10605932198407764,0.016640760340112415
4416,2024-03-26,-0.12288855407889676,-0.008206718045536632
4421,2024-04-03,-0.09981506787853522,0.0025390946144747684
4426,2024-04-10,-0.07359771480523647,-0.025167898487938434
4431,2024-04-17,-0.04019536081481123,-0.013987480538448671
4436,2024-04-24,-0.055412947543014957,-0.001129242223858018
4441,2024-05-01,-0.03281098716647968,0.03704752820367907
4446,2024-05-08,-0.04215823175363698,0.012740688300765468
4451,2024-05-15,-0.056655465364676694,0.022133519210044694
4456,2024-05-22,-0.06598519673446845,0.0014041465863130487
4461,2024-05-30,-0.05428275898204715,0.01553325738322675
4466,2024-06-06,-0.060249324498448,0.022911116864064995
4471,2024-06-13,-0.08557491270622242,0.01543817389936053
4476,2024-06-21,-0.12748750175650225,0.0002907553949362818
4481,2024-06-28,-0.05767469136032011,0.03021118810263901
4486,2024-07-08,-0.09085092602987821,-0.0027007215414383
4491,2024-07-15,-0.1296572163636961,-0.039569984245382606
4496,2024-07-22,-0.038428877205283096,-0.025818513294724954
4501,2024-07-29,-0.01118155836062551,-0.030714733136056438
4506,2024-08-05,-0.006710670917479122,0.003699164345403849
4511,2024-08-12,-0.027173516646638696,0.05466130636531141
4516,2024-08-19,-0.06456584977222535,0.01046249923260123
4521,2024-08-26,-0.047011947631835915,-0.007770854166666674
4526,2024-09-03,-0.03840132606231916,-0.045793353471630716
4531,2024-09-10,-0.010534155186129546,0.041323769777841024
4536,2024-09-17,-0.013755351243998293,0.020708349266933324
4541,2024-09-24,-0.03991583496202045,0.010413211962324143
4546,2024-10-01,-0.0679189453148149,-0.01223184566635327
4551,2024-10-08,-0.04037506062052609,0.031943558764912616
4556,2024-10-15,-0.061075764565012514,-0.00418088442211062
4561,2024-10-22,-0.0273899223715941,-4.0410156222803195e-05
4566,2024-10-29,-0.04769840096944944,-0.018954340309938145
4571,2024-11-05,0.007960841872147073,0.05726223622431137
