method,cagr,sharpe,dd,turn,stab,irr,irr52,nfit
hrp,11.26013938351267,0.7801573520941293,-46.60487674332211,0.3128902572290734,0.28320647576643626,9.44519099070879,8.246571360647167,52
invvar,11.262473964684938,0.759544445225505,-49.22933699210689,0.22769409630154902,0.10871392864594528,9.653545003052697,8.487319531757237,52
equal,11.573444515384468,0.7365303320822093,-51.54404304845692,0.23478756845965265,0.01719346918215677,9.886932148551237,8.679344272141574,0
