start,end,first3,last3,eq,erc_irr,erc_diff,erc_turn,erc_irr52,invvol_irr,invvol_diff,invvol_turn,invvol_irr52,6040_irr,6040_diff,6040_turn,6040_irr52,equal_irr,equal_diff,equal_turn,equal_irr52
1962,1981,10.751417327887737,16.755513735628625,6.0924617135158705,3.1485730436245527,-2.943888669891318,0.14085727422133815,2.40531848950392,3.1485730436245487,-2.943888669891322,0.14085727422133812,2.405318489503923,4.598917570381089,-1.4935441431347813,0.12290665714766165,3.5886447247270525,4.166216012614369,-1.926245700901502,0.12641994900806316,3.2376071215428404
1963,1982,17.123280310055122,16.11810585303466,6.945379083460207,5.023726747275438,-1.9216523361847688,0.15383803874082244,3.8277072326935766,5.023726747275438,-1.9216523361847688,0.15383803874082244,3.827707232693574,6.234562695464803,-0.7108163879954041,0.12668499113686496,4.917293059494268,5.985185134396703,-0.9601939490635036,0.13665457904013523,4.683860796366229
1964,1983,6.598921754530318,12.922492853559465,7.870347651336279,5.3161048897493455,-2.5542427615869334,0.13685541676727095,4.091149629366944,5.3161048897493455,-2.5542427615869334,0.13685541676727092,4.091149629366943,6.585261695672548,-1.2850859556637309,0.13174534195371607,5.2137105899769915,6.185342239483294,-1.685005411852985,0.135739178702594,4.86030254256022
1965,1984,10.330771569863838,15.623799718918963,7.633758915729039,5.603674604512107,-2.030084311216932,0.14317918561432602,4.3711692561489714,5.603674604512107,-2.030084311216932,0.143179185614326,4.37116925614897,6.720619725480187,-0.9131391902488515,0.13476940466024073,5.381339643446078,6.4287209269820424,-1.2050379887469962,0.14152635964958632,5.112504135778642
1966,1985,10.234208949362532,19.064458519168447,9.245822186929653,7.356198032236564,-1.889624154693089,0.14508274634001878,5.819794248714874,7.356198032236557,-1.8896241546930952,0.14508274634001878,5.81979424871487,8.324103729460736,-0.9217184574689163,0.13569036037578047,6.724934048985562,8.085261898627492,-1.160560288302161,0.14288365988084983,6.491542758247348
1967,1986,9.361784120859351,17.04410761756414,9.831422428690562,8.16495363351697,-1.6664687951735928,0.14607068799059258,6.534085376516352,8.16495363351697,-1.6664687951735928,0.14607068799059258,6.534085376516346,9.136320996656892,-0.6951014320336704,0.13428066753682097,7.426895510724468,8.922110023456453,-0.9093124052341093,0.14335840131073585,7.219997193126063
1968,1987,0.5713695210139313,16.209507211446006,9.418429913628481,7.609199956788074,-1.809229956840407,0.1419270350158373,6.168325052788508,7.609199956788074,-1.809229956840407,0.14192703501583728,6.168325052788512,8.595255238761107,-0.8231746748673743,0.14330006922902733,7.042034424813265,8.322233356634731,-1.0961965569937497,0.14438561392143565,6.798531520185557
1969,1988,1.1634511051474838,11.768525233378057,10.174288887622076,7.9661719057694755,-2.2081169818526005,0.14047157299401783,6.58664577731318,7.966171905769473,-2.208116981852603,0.1404715729940178,6.586645777313177,9.029064230896564,-1.145224656725512,0.14179717098695585,7.498483771543965,8.711928606241488,-1.4623602813805885,0.14281346515442744,7.224849776622822
1970,1989,10.775535984564023,15.615634651157428,11.57081685583293,8.966968045017873,-2.603848810815057,0.1437256676427055,7.387286866161164,8.966968045017875,-2.6038488108150553,0.14372566764270545,7.387286866161164,10.050305671030873,-1.5205111848020572,0.138403581239805,8.288397977759576,9.70610195950306,-1.86471489632987,0.13946036700794465,7.987921708031568
1971,1990,3.09794262301355,12.631678602094464,10.413039734991195,8.545718548242768,-1.867321186748427,0.1439998859188072,7.072389464313386,8.545718548242768,-1.867321186748427,0.14399988591880714,7.0723894643133836,9.440812635132811,-0.9722270998583831,0.13483344950150034,7.825598149658419,9.159170315525966,-1.2538694194652287,0.13592128121949712,7.5742423670371375
1972,1991,-12.017395774655315,17.748779714654074,12.06181940574246,9.613770454738054,-2.448048951004406,0.1485382584127495,7.930481328066394,9.613770454738054,-2.448048951004406,0.14853825841274948,7.930481328066391,10.70094840975602,-1.3608709959864402,0.1366115208127597,8.84523638895582,10.32774335715117,-1.7340760485912892,0.13800349434365525,8.51853207777446
1973,1992,-6.944296536662531,11.624602261850114,12.187105004566215,9.798276661979793,-2.3888283425864216,0.15222250605205595,8.107353893317148,9.798276661979791,-2.3888283425864234,0.1522225060520559,8.107353893317143,10.658686809976697,-1.528418194589518,0.13327109062061426,8.824414295293948,10.340125221954436,-1.846979782611779,0.1340185964590944,8.550831365451444
1974,1993,8.239437733268806,18.05127392474324,12.33011339904569,10.121132365821634,-2.208981033224056,0.1531556008691945,8.377591692995127,10.121132365821634,-2.208981033224056,0.15315560086919447,8.377591692995127,10.9081453274362,-1.4219680716094896,0.12775659427808395,9.017516540484818,10.618873914279527,-1.7112394847661623,0.1283681093908291,8.771727502716328
1975,1994,19.38914117002175,6.809125436071128,11.33996339157593,9.024412810306174,-2.315550581269756,0.14882851414784387,7.494112175421397,9.024412810306174,-2.315550581269756,0.14882851414784382,7.494112175421397,9.926742316387111,-1.4132210751888188,0.11808196989493296,8.203924766931017,9.591650490896592,-1.7483129006793376,0.12671525948273848,7.916341747677929
1976,1995,10.01818033287012,14.952525087910672,12.677412507670205,10.326973339718467,-2.3504391679517376,0.14538569825535436,8.534047688444929,10.326973339718462,-2.350439167951743,0.1453856982553543,8.534047688444923,11.10875454064136,-1.5686579670288445,0.11669669460016849,9.126095268181505,10.782177937014017,-1.8952345706561875,0.12081229430236182,8.858098733428168
1977,1996,8.993874233065702,18.316254028897518,13.18092330609813,10.498797878297522,-2.6821254278006084,0.1444040150541651,8.6613770682693,10.49879787829752,-2.68212542780061,0.14440401505416509,8.661377068269294,11.122048251609645,-2.0588750544884853,0.11402675967904097,9.144559448315661,10.75854330630633,-2.4223799997918007,0.12208217783941852,8.838760225023204
1978,1997,21.21186969201092,29.605166187924127,14.201494254996238,11.2650373181297,-2.936456936866538,0.14894937853903517,9.283508887620027,11.265037318129698,-2.9364569368665396,0.14894937853903517,9.283508887620027,11.886563062255542,-2.314931192740696,0.11612157253465591,9.808184298112538,11.480759651941295,-2.720734603054943,0.12577432560660698,9.454345326407987
1979,1998,16.755513735628625,25.501836726890993,14.697581225571277,11.612711628387148,-3.084869597184129,0.14472867491289526,9.607330416712298,11.612711628387146,-3.084869597184131,0.14472867491289526,9.607330416712298,12.350119410057061,-2.3474618155142153,0.11759447991734348,10.237520918774173,11.881078357783428,-2.8165028677878485,0.12732629796982126,9.827886904954445
1980,1999,16.11810585303466,26.879532653053673,15.237957106475013,10.965286601639882,-4.272670504835132,0.14643145137932578,9.170117732888144,10.965286601639884,-4.27267050483513,0.14643145137932576,9.170117732888148,12.29063712061296,-2.9473199858620536,0.11771778171467248,10.263933671690342,11.587014363343782,-3.650942743131232,0.12200965669655373,9.659588357470685
1981,2000,12.922492853559465,11.222345542007318,13.176448925969424,10.725733371627316,-2.450715554342109,0.1420660578409722,8.989526824239336,10.725733371627308,-2.450715554342116,0.14206605784097218,8.989526824239327,11.409178958262927,-1.767269967706497,0.11397875109250757,9.529929583473868,10.940105990296475,-2.2363429356729494,0.1137132914352353,9.129420593630766
1982,2001,15.623799718918963,-0.5626571524214641,11.221214532286908,9.819094406703908,-1.402120125583,0.14228428256743716,8.238447555155549,9.819094406703908,-1.402120125583,0.14228428256743714,8.238447555155549,10.132015091654695,-1.0891994406322123,0.12051254297770189,8.543555610224072,9.77343805129218,-1.4477764809947278,0.1201516981818179,8.219589402534128
