candidato,quota,media,scarto
momentum 12-2 top-1,0.3695652173913043,-1.2443607312041856,0.17316742229282323
momentum 12-2 top-3,0.5652173913043478,1.5022567780382565,-1.293161398827074
momentum 12-2 top-5,0.5,0.8476359478174192,-0.5982179211503414
momentum 12-2 top-10,0.45652173913043476,-0.042345811277780816,-0.28624473299655606
momentum 12-2 top-25,0.15217391304347827,-0.9785530330426478,-0.19315447634051763
momentum 12-2 top-10 annuale,0.7391304347826086,1.226929742819482,0.2712648411282581
momentum 12-2 top-5 annuale,0.717391304347826,1.842307174855296,-0.5299268770134593
momentum 6-2 top-10,0.1956521739130435,-1.3246293643289233,-0.34941704202563706
momentum 3-2 top-10,0.043478260869565216,-2.3400212474655615,0.2213434769437188
reversione 1 mese top-10,0.0,-6.203842102907146,-0.17323614181679403
momentum 1 mese top-10,0.1956521739130435,-1.6196469966019245,-0.15620702751363824
low-vol 36m top-5,0.2608695652173913,-2.0226263948957,-0.7345546449933797
low-vol 36m top-10,0.3695652173913043,-0.8911459742073891,-0.3898643496994374
low-vol 36m top-25,0.5217391304347826,-0.04065504580007325,0.14556277342083854
low-vol 12m top-10,0.021739130434782608,-2.783586820114418,0.06480032243733458
high-vol 36m top-10,0.41304347826086957,-0.4047248735473647,-0.3362528420837581
punteggio misto mom+lowvol,0.15217391304347827,-1.3480503199039207,0.06083140958888689
inverse-volatility (tutti),0.5,-0.0034902145068766892,0.008702836150060945
filtro di tendenza 10m su EW,0.2391304347826087,-0.08183724671808446,0.011488821417590889
