label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref,top,freq,rot
top-1 mensile,6.059320956909642,30.00525640067498,0.3441722462093181,-65.50877658038716,0.5140507767801146,11.217744383384018,6.074055197105934,5.325240548972329,683,5.325240548972329,52,1,mensile,11.217744383384018
top-1 trimestrale,7.623677872936474,32.26385352042297,0.38888918000435907,-86.52988875645394,0.23520774458689936,3.716175043868829,7.708953423136822,6.562890765573839,683,6.562890765573839,52,1,trimestrale,3.716175043868829
top-1 annuale,6.66897005803726,31.324375631618878,0.36488708462753366,-84.14466934658981,-0.02779591452333251,0.9431204801533141,4.837465472942515,4.06728808897243,683,4.837465472942515,33,1,annuale,0.9431204801533141
top-3 mensile,13.173436538874261,21.192483228839073,0.6930686488498138,-45.057621869394715,-0.15153491338648423,10.64933364867053,10.088604817090982,8.663887747501892,683,8.663887747501892,52,3,mensile,10.64933364867053
top-3 trimestrale,10.276099428990971,21.427353310074817,0.5662695134906236,-64.38776337317276,-0.2501885475089019,3.6462551927154405,9.20086173222019,7.904587264452339,683,7.904587264452339,52,3,trimestrale,3.6462551927154405
top-3 annuale,11.628796773649807,23.495607455326834,0.5893294579400219,-65.33913178683525,-0.32616236195757614,1.0525400704651877,8.995449857561477,7.740546959684094,683,7.740546959684094,52,3,annuale,1.0525400704651877
top-5 mensile,13.138773867183385,19.285539064259606,0.7405660617212213,-50.25931605046857,-0.3544313908672378,10.186876770825032,10.248496586906983,8.819586021780932,683,8.819586021780932,52,5,mensile,10.186876770825032
top-5 trimestrale,11.059020883321136,19.283407485098554,0.6439450480919385,-62.275087022559106,-0.46303826748967997,3.5122394268495642,9.828546495315457,8.514105867728325,683,8.514105867728325,52,5,trimestrale,3.5122394268495642
top-5 annuale,12.614893727582999,21.53146630758259,0.6634507687413351,-58.31534293122124,-0.39754470623480237,1.0221940945598693,10.121138970291236,8.730665192173657,683,8.730665192173657,52,5,annuale,1.0221940945598693
top-10 mensile,13.093593498933732,17.59789835584997,0.7912578227082327,-49.02652102519382,-0.3493129728799739,9.115184105157164,10.208222824555547,8.7887321491708,683,8.7887321491708,52,10,mensile,9.115184105157166
top-10 trimestrale,11.804875532026138,18.09752550583274,0.711223680361432,-57.709613316275835,-0.5602050882414981,3.1578726349805537,10.029546459963445,8.741971784809394,683,8.741971784809394,52,10,trimestrale,3.1578726349805537
top-10 annuale,11.066861106150139,19.18944090693578,0.6470157508850319,-61.7239676714546,-0.5770952169073443,0.9505669051102601,8.914385564725938,7.685502848822335,683,8.914385564725938,33,10,annuale,0.9505669051102601
top-25 mensile,12.19802650939068,16.73952950175546,0.7752441023806186,-49.326246738041334,-0.44338782787198594,5.7012450661582195,9.639681876101102,8.307956306430963,683,8.307956306430963,52,25,mensile,5.7012450661582195
top-25 trimestrale,11.712162936554261,16.913532657125714,0.7436611181057113,-51.16295992804679,-0.6289072921165124,2.0753209183885755,9.734287004986744,8.441278282363962,683,8.441278282363962,52,25,trimestrale,2.0753209183885755
top-25 annuale,11.524785375223058,17.198458278580226,0.724115573277632,-50.6640275231362,-0.5317497462062837,0.6556439709839832,9.651111799129852,8.383244370632223,683,9.651111799129852,33,25,annuale,0.6556439709839832
