label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref
WTI buy&hold,3.756559676093496,37.882323424036926,0.2807610535977699,-86.26036010288655,1.1143168197982842,0.0,3.3416831715598008,2.6559234891195485,486,3.3416831715598008,33
azionario (benchmark),11.521792042835767,15.612242722371347,0.7809033659905968,-50.31170717166413,-0.7531701680349786,0.0,9.902488298378914,8.818371022280175,484,9.902488298378914,33
WTI trend MA6,4.792856253630151,24.80900071351938,0.30746733229728995,-49.22648274391389,1.342143191278336,2.7160493827160495,2.5936338745188263,1.9469733215520881,486,1.9469733215520881,52
WTI trend MA10,4.515000891737708,24.76303318610517,0.29747394369313407,-59.116342520965674,1.216959450296089,1.9753086419753085,2.5564647940402563,2.0748443994583923,486,2.0748443994583923,52
WTI trend MA12,5.313257241041813,24.32804830649334,0.32987116896200985,-50.42434534559446,1.260443540571459,1.728395061728395,3.745718588105201,3.0866846774880385,486,3.0866846774880385,52
WTI momentum 6m,3.301003264883118,24.953054512902686,0.2509623382507993,-67.22921063267071,1.053962975889932,2.0,3.2911171925573384,2.766881121643492,486,2.766881121643492,52
WTI momentum 12m,3.7728567907133748,23.505048309746822,0.2752478330361,-54.53711197231651,0.2745669599453311,1.654320987654321,2.050866803864579,1.6236029525731195,486,1.6236029525731195,52
carry EUR/JPY long-short,-0.47426532476707584,10.619645683687336,0.009038732115903947,-59.58964081693507,-0.6553842481751767,0.18181818181818182,0.372351969903462,0.25543233452761965,330,0.372351969903462,33
momentum 12m long-short,2.0173533518343723,9.692921065201899,0.25461552841139357,-42.106183734713674,-0.12009686824880463,3.272727272727273,2.1253345310176863,1.7961463672091935,330,1.7961463672091935,52
3 valute equal-weight long,-0.543086722213304,5.5192626072090185,-0.07111690491975801,-37.64475523105452,0.01383722662774274,0.0,-1.4883879796292083,-1.4883879796292083,330,-1.4883879796292083,33
carry +GBP (robustezza),1.1674801434284898,10.183375820174835,0.16585814411500868,-53.98842149031648,-1.0163492875553175,0.452054794520548,1.669308582551817,1.2222627090245142,292,1.669308582551817,33
