candidato,media,minimo,massimo,ampiezza,devstd
H5 momentum settoriale,-1.1994830767301932,-1.4054853424725486,-1.0410893133325736,0.36439602913997504,0.1389134430097494
H4 tilt low-vol,-2.8459976556839277,-2.9109656671246578,-2.7380097509158468,0.172955916208811,0.05180408367475825
C1 punteggio misto,-2.535292438077934,-2.8793555023393953,-2.318363977200729,0.5609915251386663,0.16752077738517576
