anchor,mode,cagr,sharpe,dd
settimana,buy&hold,63.81986508339064,1.0310064291355658,-81.03561684462564
settimana,long-only,43.76851356020124,0.9811345228654282,-63.22759726762905
settimana,short-only,-34.30936572369572,-0.6023258364973224,-92.88846403897846
settimana,long-short,-1.3958305120602255,0.2907068606262873,-73.6761219007773
mese,buy&hold,63.81986508339064,1.0310064291355658,-81.03561684462564
mese,long-only,73.63011034435478,1.4035240141870435,-56.7463357649449
mese,short-only,-21.762983478333,-0.23033903959010046,-80.43642043249845
mese,long-short,42.068904503014195,0.8738474270586641,-60.80019311533302
trimestre,buy&hold,63.81986508339064,1.0310064291355658,-81.03561684462564
trimestre,long-only,90.27833391349272,1.5283393847899722,-41.81296131465177
trimestre,short-only,-11.731725206841615,-0.01875175175434767,-75.63374899065902
trimestre,long-short,75.24456011954422,1.205798157858776,-51.9025413284627
