,a=0.0,a=1.0,a=2.0,a=4.0,a=6.0,a=8.0
0.2x,-0.5077356855315376,0.45379997042371123,1.4160927385579,3.3494794991385106,5.30062472328772,7.266311652157084
0.5x,-0.8858990171802628,0.05096269356376304,0.9594746161216161,2.7658744039797547,4.583024414750261,6.4153734900605865
0.9x,-1.1588367935122186,-0.24859814733312113,0.6592597054749625,2.4692714189061302,4.251657903096914,6.014354077095229
1.1x,-2.5458300359404715,-1.733242820061978,-0.9228778559137023,0.6887917259449843,2.2872906089745904,3.868421887540178
2.0x,-2.8057902040110934,-2.0145880841486097,-1.227292119807979,0.3390127775060119,1.8969305166264494,3.4392156083482703
3.5x,-3.0710944096994233,-2.290462880006877,-1.5140322666804593,0.027906149561447435,1.5538784388180993,3.0644913126648934
6.0x,-3.400223411983305,-2.6287185270363302,-1.8613370832711578,-0.33964418346621983,1.164205701987079,2.6542103323287627
