label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref
azionario puro (benchmark),9.857390644422793,15.446262157597904,0.6887828764376871,-50.311707171664125,-0.5343323959282187,0.0,9.879775069899473,8.211823216733613,273,9.879775069899473,33
4 stream — erc,6.3736759594382075,6.126147383711293,1.041646780346347,-14.272011313133625,-0.20301736423874656,0.6800919468321529,5.392695860505715,4.4067946830447635,273,5.392695860505715,33
4 stream — equal,6.57767803623317,5.510041020628188,1.18655875281809,-11.6575761993011,-0.10253932836315575,0.3516483516483517,5.638996423748127,4.630995987326932,273,5.638996423748127,33
4 stream — invvol,5.645969144869056,5.2982677792887385,1.0653647350096473,-13.050910980901442,-0.29581847493992747,0.37321857701965755,4.634375374961743,3.720179695375009,273,4.634375374961743,33
