underlying,f,thr,cagr,sharpe,dd,espo,capfrac,turn,irr,irr52,bh,vs
indice cap-weighted,0.25,0.0,7.45245261954095,0.6552853704983777,-64.97079935455102,0.6640414806792587,0.46444249341527655,0.3972865828757121,6.622543348954518,5.958534481565016,10.560992243219006,-3.9384488942644884
indice cap-weighted,0.25,0.1,6.798125637682051,0.7141853253258077,-45.77343178348626,0.5476170981902413,0.46444249341527655,0.46194824310848553,5.59916477945067,4.929210682212282,10.560992243219006,-4.961827463768336
indice cap-weighted,0.25,0.2,7.296388696422418,0.7209711879639791,-45.77343178348626,0.5882975352378801,0.46444249341527655,0.4385027335404402,6.141790588218132,5.439672116170223,10.560992243219006,-4.419201655000874
indice cap-weighted,0.25,0.3,7.130476063372315,0.6811986915852876,-53.08915812603809,0.6030233938400407,0.46444249341527655,0.4071701986091726,6.1776246440877145,5.518338704229825,10.560992243219006,-4.383367599131292
indice cap-weighted,0.5,0.0,8.149269475448717,0.6413871197753894,-71.05684160200299,0.7611958858841582,0.6426690079016681,0.3499244739273795,7.441575494849062,6.6789476555924265,10.560992243219006,-3.119416748369945
indice cap-weighted,0.5,0.1,7.597084775484664,0.7279024094879429,-50.151113710616876,0.6190001633463809,0.6426690079016681,0.44370596269833085,6.391834593859214,5.658112199737587,10.560992243219006,-4.169157649359793
indice cap-weighted,0.5,0.2,7.773592329148249,0.7116705822981644,-50.151113710616876,0.6632892950927092,0.6426690079016681,0.45782816942359056,6.607849728342263,5.8524178909680105,10.560992243219006,-3.9531425148767436
indice cap-weighted,0.5,0.3,7.886573951801967,0.6918336287296899,-56.8762453678154,0.6799988734284439,0.6426690079016681,0.360853029755589,7.0371429015416656,6.299316148509374,10.560992243219006,-3.523849341677341
equal-weight 49 settori,0.25,0.0,6.4278096308131305,0.5529155651387103,-38.814420865409524,0.6998349147549174,0.36757624398073835,0.5432017557738075,5.680283612920195,4.933448847540767,11.163388980153593,-5.4831053672333985
equal-weight 49 settori,0.25,0.1,5.6651154557462835,0.577868745195587,-28.111364818688035,0.5821757635099991,0.36757624398073835,0.7051503557532058,4.667450107102544,3.9837122760140593,11.163388980153593,-6.495938873051049
equal-weight 49 settori,0.25,0.2,5.91241062404082,0.5434124039394574,-32.85864989408858,0.6441987300453614,0.36757624398073835,0.6861589447251046,5.14917950411163,4.423168629626753,11.163388980153593,-6.014209476041963
equal-weight 49 settori,0.25,0.3,5.957739313687416,0.5274750563261545,-38.60207503810405,0.6657154744436243,0.36757624398073835,0.6313718245835491,5.150563154610649,4.4419537367176,11.163388980153593,-6.0128258255429445
equal-weight 49 settori,0.5,0.0,8.37076439157216,0.6241655669382107,-39.36287655765497,0.8386552923707129,0.680577849117175,0.3825720819394974,7.493318917531888,6.449057522789933,11.163388980153593,-3.670070062621705
equal-weight 49 settori,0.5,0.1,7.03342848423083,0.6321143446679655,-29.1101462922133,0.696330990561722,0.680577849117175,0.777737429597095,5.754002426641297,4.901017699447102,11.163388980153593,-5.409386553512296
equal-weight 49 settori,0.5,0.2,7.760321194256781,0.6122560136782385,-32.85864989408858,0.787198067047572,0.680577849117175,0.45908483186869126,6.8328488334293,5.916620198880204,11.163388980153593,-4.330540146724293
equal-weight 49 settori,0.5,0.3,8.073044212165215,0.6114739241821848,-38.81442086540952,0.8150482379146878,0.680577849117175,0.3812175289116285,7.171796040552186,6.140367692469971,11.163388980153593,-3.991592939601407
