top,freq,irr,rate,turn,sharpe,cagr,dd
1,mensile,4.6433164264152476,52,11.200227089371621,0.3158121852752187,5.14891031592839,-74.07678475724754
1,trimestrale,4.39371642020009,52,3.715600442226671,0.291366348624547,4.171866727337958,-91.2201195546332
1,annuale,4.530349008446745,33,0.9396121552574179,0.3455171585545598,6.0212427947236025,-83.85823828799876
3,mensile,5.8777471103098495,52,10.631427973824964,0.4875781010232266,8.4716624896783,-48.152088319364275
3,trimestrale,5.652432314254607,52,3.498192249081184,0.43768122044088575,7.4704428249038335,-69.84528719379887
3,annuale,9.123923083614214,33,0.8627603310723997,0.6109089649287155,12.151734408530789,-64.1031209197634
5,mensile,6.593957183028529,52,10.169217438073327,0.5759918335734034,9.748952760031692,-49.41178322129601
5,trimestrale,7.260501603229338,52,3.3592613619386262,0.5830293564138137,9.95541835677427,-61.8396493877436
5,annuale,10.024820854876292,33,0.8257328114261812,0.6687907252368682,12.715176160173524,-56.743101602440674
10,mensile,7.060428216214709,52,9.099196223145187,0.6345613341527212,10.294397398337463,-51.1765543823297
10,trimestrale,8.057121680212731,52,3.013105447156901,0.67612791852493,11.287158886151282,-59.483560468101906
10,annuale,8.912597584547047,33,0.7624465891773986,0.6571447505606943,11.269469733863868,-59.90541652493428
25,mensile,7.434558972150565,52,5.688839752592105,0.696996693752278,10.806045368043794,-51.09359186640234
25,trimestrale,8.093631002322873,52,1.933173573968387,0.7265858319134442,11.544213134168402,-54.27475538491119
25,annuale,9.473432719107205,33,0.47982071891714234,0.7232861984769843,11.487472039571212,-50.92727853289147
