method,base,total,turn,c_composizione,c_costi,c_imposte,q_composizione,q_costi,q_imposte,r_composizione,r_costi,r_imposte
erc,10.479381558594463,3.626346821286191,0.1581248078683242,3.2584392481599695,0.011596392282276527,0.35631118084394514,89.85459496133544,0.3197816660614807,9.825623372603088,"(2.8892512975017457, 3.626346821286191)","(0.0, 0.025753539628556865)","(0.0, 0.715183116751894)"
invvol,10.479381558594463,3.96216108497725,0.13972221120975234,3.6398284277537694,0.01004688165604343,0.31228577556743725,91.86472608482218,0.25357075193476436,7.8817031632430545,"(3.316437041292777, 3.96216108497725)","(0.0, 0.02221122178711088)","(0.0, 0.6266890096098985)"
6040,10.479381558594463,2.6440563898676404,0.12980154650606904,2.229307610656561,0.009735444084154684,0.40501333512692456,84.31392080742116,0.36820107625019427,15.317878116328648,"(1.8136080485764108, 2.6440563898676404)","(0.0, 0.021372453906451483)","(0.0, 0.8119282359919913)"
equal,10.479381558594463,3.1223090777714617,0.13468679388740243,2.734682299607433,0.010088288143823418,0.3775384900202055,87.58525282062415,0.323103443398496,12.091643735977362,"(2.346023496605053, 3.1223090777714617)","(0.0, 0.022240625964348837)","(0.0, 0.7571410297171131)"
