s,cagr,vol,dd,irr,fin
SPY,14.88164276453765,14.238020797162909,-23.92718402314561,10.745977378216438,314841.7214082003
VT,11.030318371621073,14.373896926125731,-25.50928487451294,8.350952399496988,258250.9290168238
ACWI,11.057023001203303,14.176646407411958,-25.738397380152055,8.394525113186601,259174.53783495072
URTH,11.523575651238094,13.944393982938225,-25.499285800592254,8.854614306298059,253576.5298574336
