inizio,diff
2015-11-30,2.044675876721616
2015-12-31,1.831259307761126
2016-01-31,2.1485748325098353
2016-02-29,0.8681002043394965
2016-03-31,0.025350493998631762
2016-04-30,0.030284904635170307
2016-05-31,-0.42244503458467264
2016-06-30,0.9857156183002864
2016-07-31,0.8787319392311037
2016-08-31,1.3278101877800985
2016-09-30,1.2204921254892334
2016-10-31,1.300893870411441
2016-11-30,0.5862130900461988
2016-12-31,-0.05347076719771593
2017-01-31,-0.4771541719476158
2017-02-28,-0.25169504261435627
2017-03-31,-0.3626240813801953
2017-04-30,-0.3577330771545313
2017-05-31,-0.014869422141366329
2017-06-30,-0.04307938776834863
2017-07-31,-0.4832554336714283
2017-08-31,-0.15838421770203226
2017-09-30,0.5590848491198832
2017-10-31,1.992403987823109
2017-11-30,1.2031489048297122
2017-12-31,2.033710431773353
2018-01-31,-0.064435096600576
2018-02-28,-0.7385004347633268
2018-03-31,-1.308665233982814
2018-04-30,-0.8957370856768581
2018-05-31,-2.800191207405154
2018-06-30,-2.7682482605376393
2018-07-31,-3.1244454105963317
2018-08-31,-1.907889510701179
2018-09-30,-0.8064581609441062
2018-10-31,-0.7286125056867236
2018-11-30,-0.5584482713748509
2018-12-31,-0.03572395374595416
2019-01-31,1.0832709521556012
2019-02-28,1.1032813206383967
2019-03-31,3.063109296021862
2019-04-30,2.543378084840411
2019-05-31,3.1900623255412963
2019-06-30,4.35439296620042
2019-07-31,3.4226712515075253
2019-08-31,3.828774214019706
2019-09-30,3.667734361021701
2019-10-31,3.932547523393051
2019-11-30,4.119873709968994
2019-12-31,4.2191828813375185
2020-01-31,4.927942604431157
2020-02-29,5.1509226384689075
2020-03-31,4.452781864377927
2020-04-30,5.313424420583763
2020-05-31,6.738928677239631
2020-06-30,7.291311997821078
2020-07-31,7.41144688160192
2020-08-31,6.935021850063725
2020-09-30,7.108388723007602
2020-10-31,6.508198184353482
2020-11-30,5.96250022694214
2020-12-31,5.7148162640846305
2021-01-31,5.339759091869476
2021-02-28,5.4282196823535145
2021-03-31,4.891294580598121
2021-04-30,7.414915232479107
2021-05-31,9.589236663876768
2021-06-30,12.118339699280032
2021-07-31,8.809496370434527
