method,start,alloc,eq,diff,turn,alloc52
erc,1976,11.588495907127589,12.69132408212415,-1.1028281749965618,0.14064279482197897,9.58564212604143
erc,1977,11.370104307425741,13.18092330609813,-1.8108189986723886,0.14525678406803927,9.434749062950958
erc,1978,12.103415078165686,14.201494254996238,-2.0980791768305522,0.148335178956594,10.034281302265635
erc,1979,12.406739697827323,14.697581225571277,-2.2908415277439538,0.1431482680829428,10.325449101494359
erc,1980,11.733545036114123,15.237957106475013,-3.5044120703608908,0.1466601768219248,9.859060318096352
erc,1981,11.438780331044057,13.176448925969424,-1.737668594925367,0.14227560513430476,9.630469255563256
erc,1982,10.546817767917396,11.221214532286908,-0.6743967643695115,0.14234177447777913,8.883871091341758
erc,1983,9.93437657356305,8.187204221973243,1.747172351589807,0.14351127037552144,8.342218794733922
erc,1984,10.6961268834704,9.284546611765714,1.4115802717046861,0.1740185583991151,8.878413035776997
erc,1985,10.344290915281448,9.028267726662293,1.3160231886191553,0.18225994355752592,8.693357263163334
erc,1986,9.848078517724248,8.437407541371321,1.410670976352927,0.18740955811604273,8.337523674160193
erc,1987,9.650648017217945,8.641204677403008,1.0094433398149363,0.19785652841975437,8.095292536938073
erc,1988,9.429436287262574,8.247004230665192,1.1824320565973814,0.18541603170387116,7.901596685505469
erc,1989,8.369562387242349,3.978769675654892,4.390792711587457,0.19279259400072055,7.011649001963119
erc,1990,7.893893933419848,5.069104165641418,2.82478976777843,0.19778121226947498,6.58006692097885
erc,1991,7.8060937303158,5.422470526884878,2.383623203430922,0.1996716199739702,6.4239586538753555
erc,1992,7.830087790882567,4.671923084771577,3.1581647061109903,0.19320597829050057,6.40254645806441
erc,1993,7.596953669234841,5.038617967255042,2.558335701979799,0.1952874752914346,6.157163302903927
erc,1994,7.804808211702594,6.518838439276206,1.2859697724263874,0.20760113762972487,6.266766801823498
erc,1995,7.8430576258558595,6.539281472170974,1.3037761536848853,0.2075049200062134,6.316725707518259
erc,1996,7.140895728429092,5.809724001395944,1.3311717270331478,0.21993502162954415,5.719929864649383
erc,1997,6.949189689272847,6.138217934627124,0.8109717546457231,0.21997304182290417,5.654604578056609
erc,1998,6.761235149931536,7.117564511770519,-0.35632936183898334,0.2164888756834673,5.4596160648745045
erc,1999,5.852356003347657,6.308347238159861,-0.4559912348122044,0.21758714487112635,4.718748446737457
erc,2000,6.480222791918972,7.938403379140449,-1.4581805872214773,0.22118034000284537,5.214887586795483
erc,2001,6.602279721244061,9.231606561189402,-2.6293268399453407,0.19822741015402126,5.306046135742464
erc,2002,6.80726615401607,10.364362229304112,-3.557096075288041,0.20013879287617878,5.465037541364255
erc,2003,5.094589776230326,8.090480161002569,-2.9958903847722427,0.1915989968592391,4.222786204933605
erc,2004,5.184664782629284,9.179996843964172,-3.9953320613348886,0.18597743714764065,4.291870637478547
erc,2005,5.089436222842815,10.248970791087144,-5.159534568244329,0.18713609957009414,4.147193273449807
erc,2006,5.238899310506698,10.861324999044031,-5.622425688537334,0.18219104153992965,4.1937344534356855
invvol,1976,11.588495907127589,12.69132408212415,-1.1028281749965618,0.14064279482197897,9.58564212604143
invvol,1977,11.370104307425738,13.18092330609813,-1.8108189986723922,0.14525678406803927,9.434749062950958
invvol,1978,12.103415078165686,14.201494254996238,-2.0980791768305522,0.148335178956594,10.034281302265635
invvol,1979,12.406739697827321,14.697581225571277,-2.2908415277439556,0.1431482680829428,10.325449101494355
invvol,1980,11.733545036114117,15.237957106475013,-3.504412070360896,0.1466601768219248,9.859060318096349
invvol,1981,11.438780331044054,13.176448925969424,-1.7376685949253705,0.14227560513430476,9.630469255563249
invvol,1982,10.546817767917393,11.221214532286908,-0.674396764369515,0.1423417744777791,8.883871091341755
invvol,1983,9.93437657356305,8.187204221973243,1.747172351589807,0.14351127037552142,8.342218794733922
