benchmark,cagr,vol,sharpe,turn,irr,rate
cap-weight (stesso universo),11.116841840322977,15.733517506507285,0.7522219683854038,0.19855938803905823,9.661453914482788,33
equal-weight mensile,11.154760580749246,17.19897120197475,0.7045175655362325,0.0,11.163388980153584,33
equal-weight annuale,11.41613559639547,17.049354652654554,0.7231023278029041,0.2393979635661708,9.923000100804162,33
equal-weight mensile (rotaz. vera),11.122290260344215,17.198936965994747,0.7028074994322088,0.196236259867115,9.812817700774412,33
equal-weight annuale (rotaz. vera),11.445535616906044,17.049311124741173,0.7246630157334926,0.06221677048790874,10.652432161915673,33
[controllo] mercato USA totale,10.9847832491627,15.827661577218214,0.7411159073858292,0.0,10.875103340007708,33
