round,hypothesis,config,window,sharpe,irr,bh_irr,excess,n_obs,note
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=12,lev=1.25",TEST,0.4205649521833164,5.9744365910742685,5.069104165641418,0.9053324254328503,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=12,lev=1.5",TEST,0.3839367337130849,5.997508740979654,5.069104165641418,0.9284045753382362,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=12,lev=1.75",TEST,0.3577737205200624,5.960979683170277,5.069104165641418,0.8918755175288586,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=12,lev=2.0",TEST,0.33815146062529555,5.863180509419353,5.069104165641418,0.7940763437779346,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=60,lev=1.0",TEST,0.4687886746819537,5.4919171053677935,5.069104165641418,0.42281293972637535,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=60,lev=1.25",TEST,0.4129963871126149,5.527808499614633,5.069104165641418,0.4587043339732144,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=60,lev=1.5",TEST,0.37580152873305583,5.513023544505921,5.069104165641418,0.4439193788645026,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=60,lev=1.75",TEST,0.34923377274765655,5.444268432314982,5.069104165641418,0.37516426667356395,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.7,rebal=60,lev=2.0",TEST,0.32930795575860694,5.318740077813045,5.069104165641418,0.24963591217162673,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=12,lev=1.0",TEST,0.4340062034766595,5.75688430404436,5.069104165641418,0.6877801384029416,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=12,lev=1.25",TEST,0.38521294530680056,5.765397523104733,5.069104165641418,0.6962933574633148,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=12,lev=1.5",TEST,0.3526841065268944,5.693344749301586,5.069104165641418,0.6242405836601677,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=12,lev=1.75",TEST,0.32944922168410445,5.538475444241087,5.069104165641418,0.46937127859966843,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=12,lev=2.0",TEST,0.3120230580520119,5.298380859867476,5.069104165641418,0.22927669422605756,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=60,lev=1.0",TEST,0.4302437282091315,5.410882002200639,5.069104165641418,0.34177783655922056,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=60,lev=1.25",TEST,0.3805351751228931,5.380912609893477,5.069104165641418,0.3118084442520592,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=60,lev=1.5",TEST,0.34739613973206734,5.279553297768742,5.069104165641418,0.21044913212732386,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=60,lev=1.75",TEST,0.323725400167192,5.102860775107089,5.069104165641418,0.03375660946567116,240,
1,"H1 multi-asset a bassa rotazione, con e senza leva","eq=0.8,rebal=60,lev=2.0",TEST,0.3059723454935354,4.847790504033539,5.069104165641418,-0.22131366160787902,240,
